Year,Game_ID,Week,Visitor_Score,Visitor_Team,Home_Score,Home_Team,Attendance,Weather,Temperature,Wind,Visitor_Quarterback,Home_Quarterback,Visitor_Running_Back,Home_Running_Back,Visitor_Receiver,Home_Receiver,Visitor_QB_Pass_Attempts,Visitor_QB_Completions,Visitor_QB_Passing_Yardage,Home_QB_Pass_Attempts,Home_QB_Completions,Home_QB_Passing_Yardage,Visiting_Leader_Rushes,Visiting_Leader_Rushing_Yardage,Home_Leader_Rushes,Home_Leader_Rushing_Yardage,Visiting_Leader_Receptions,Visiting_Leader_Receiving_Yardage,Home_Leader_Receptions,Home_Leader_Receiving_Yardage
2069,12,Ex. Season Week 2,10,14,39,9,68500,Rain,45,9,36686,40035,39228,35875,41927,41936,35,20,229,22,16,166,4,25,21,149,8,81,5,73
2069,13,Ex. Season Week 2,36,16,9,5,33800,Sunny,68,0,38333,35046,37564,40939,36872,40939,22,17,179,16,10,86,27,101,12,53,12,130,6,44
2069,14,Ex. Season Week 2,26,19,20,15,54200,Sunny,58,3,35829,41781,40078,40061,36879,38518,24,16,171,27,15,121,19,53,20,110,6,81,5,47
2069,15,Ex. Season Week 2,24,20,10,0,52800,Rain,107,8,39196,40019,42614,42648,41900,41138,27,18,168,28,15,139,30,136,11,53,2,33,4,56
2069,16,Ex. Season Week 2,23,22,19,17,51600,Sunny,91,0,32466,40027,41822,39274,40198,36073,11,9,109,30,18,205,13,62,16,43,2,56,6,80
2069,17,Ex. Season Week 2,13,28,16,18,78100,Sunny,68,0,40871,43397,41802,41824,39423,33504,24,16,242,26,14,176,8,30,15,77,3,90,5,65
2069,18,Ex. Season Week 3,21,0,24,19,55200,Sunny,79,0,32452,35829,42648,40078,37632,39342,19,11,78,26,13,89,19,92,23,95,2,47,2,37
2069,19,Ex. Season Week 3,13,1,15,12,77900,Rain,68,10,32457,40017,40961,40933,39395,38480,27,17,179,37,22,229,14,24,13,18,6,72,3,79
2069,20,Ex. Season Week 3,24,27,16,11,57800,Sunny,68,0,35853,33309,39268,39247,40175,36072,23,13,208,25,15,130,6,30,15,109,5,76,6,80
2069,21,Ex. Season Week 3,16,4,9,31,60400,Sunny,72,0,42570,34178,40962,43431,40229,41147,26,14,113,21,12,112,22,75,15,68,3,34,4,58
2069,22,Ex. Season Week 3,13,5,24,13,82700,Sunny,89,11,35046,40036,40939,41837,42791,41810,9,6,130,31,16,190,11,13,19,37,1,36,3,54
2069,23,Ex. Season Week 3,17,7,23,30,21300,Sunny,68,0,43391,40864,37581,40076,41077,40237,31,15,121,26,13,156,21,63,11,20,6,67,5,73
2069,24,Ex. Season Week 3,9,9,13,8,19100,Sunny,57,17,38315,35856,43434,40062,36826,37672,29,14,97,24,15,130,7,61,20,42,4,34,9,71
2069,25,Ex. Season Week 3,3,26,30,14,51200,Sunny,78,10,38344,43355,41806,39228,35987,41927,21,10,55,18,12,110,25,140,21,75,6,40,7,68
2069,26,Ex. Season Week 3,28,15,28,20,63500,Sunny,84,4,41781,39196,38382,42614,38518,35201,36,16,130,41,24,192,14,37,22,104,6,55,4,67
2069,27,Ex. Season Week 3,10,17,16,28,78300,Sunny,76,0,40027,40871,39274,40871,40247,42803,32,15,171,21,14,162,8,43,6,30,4,89,5,89
2069,28,Ex. Season Week 3,7,18,37,22,60500,Sunny,68,0,43397,32465,41824,43462,39438,39429,36,14,110,13,12,149,11,46,11,47,5,86,7,79
2069,29,Ex. Season Week 3,22,21,19,2,59900,Sunny,57,1,38324,34195,40104,40921,36057,38522,26,18,237,21,14,107,34,72,18,56,7,106,4,50
2069,30,Ex. Season Week 3,12,25,23,3,76500,Rain,79,16,40053,41757,40956,42623,37714,41976,31,15,123,13,9,154,17,50,23,96,2,43,7,93
2069,31,Ex. Season Week 3,17,24,23,16,55100,Sunny,52,0,39998,38333,42594,40096,38516,36872,32,21,230,15,8,125,11,67,21,64,14,147,9,119
2069,32,Ex. Season Week 3,23,29,34,6,66800,Sunny,68,0,40891,42559,40077,42632,41118,38591,10,8,116,24,16,229,9,104,23,98,6,53,11,126
2069,33,Ex. Season Week 4,13,0,21,8,19500,Stormy,79,13,40019,39219,42648,43466,39400,39336,39,23,226,17,13,122,11,21,4,31,10,127,8,57
2069,34,Ex. Season Week 4,6,1,23,30,21300,Sunny,68,0,32457,38322,39248,40076,40251,40240,23,15,118,14,13,145,7,34,15,43,4,50,4,75
2069,35,Ex. Season Week 4,3,27,16,22,61000,Sunny,68,0,35853,32465,39268,36744,34382,39429,31,18,172,11,7,135,20,83,19,103,5,71,3,57
2069,36,Ex. Season Week 4,24,4,21,2,65200,Rain,78,10,42570,38351,40962,39270,40229,38522,36,25,260,11,9,123,12,70,19,63,7,105,6,82
2069,37,Ex. Season Week 4,7,5,34,3,76500,Sunny,67,3,37475,35852,40939,42623,36897,41976,28,18,160,24,17,209,10,27,22,72,5,103,7,97
2069,38,Ex. Season Week 4,20,7,13,12,77900,Sunny,88,0,43391,42544,37581,40957,41090,36082,27,18,165,38,22,212,18,108,15,42,5,75,6,95
2069,39,Ex. Season Week 4,31,9,24,19,53700,Sunny,56,0,38315,35829,35875,33339,41936,36879,21,15,178,44,26,318,12,72,1,27,5,101,10,120
2069,40,Ex. Season Week 4,10,10,23,16,55200,Sunny,67,0,42555,38333,37530,40096,41109,36872,33,15,150,17,11,92,21,77,4,50,5,42,9,75
2069,41,Ex. Season Week 4,28,26,21,20,64600,Sunny,72,8,38344,39196,41806,42614,35987,37703,28,16,185,28,15,189,15,57,11,49,6,92,4,84
2069,42,Ex. Season Week 4,14,15,27,14,49400,Sunny,89,9,41781,36686,38382,41801,41977,41947,39,21,159,18,13,173,9,95,21,92,6,48,4,67
2069,43,Ex. Season Week 4,23,18,10,11,57200,Sunny,68,0,34186,33309,41824,39247,33504,36072,15,10,92,28,17,98,27,65,9,48,3,42,8,73
2069,44,Ex. Season Week 4,37,21,20,31,56900,Sunny,61,0,36636,34178,40104,43431,43533,41147,25,13,200,35,18,164,9,43,17,123,2,94,10,82
2069,45,Ex. Season Week 4,16,25,21,13,82800,Sunny,71,5,40053,40036,42645,43446,41072,40269,19,12,180,22,15,205,12,48,18,52,6,128,6,109
2069,46,Ex. Season Week 4,17,24,37,23,72000,Sunny,69,3,35009,42552,40082,40105,38570,39377,8,5,90,18,14,119,19,39,23,130,2,73,4,80
2069,47,Ex. Season Week 4,21,29,16,28,78300,Sunny,74,0,36685,40871,40077,39230,42798,39423,27,14,106,30,22,206,10,50,13,67,6,61,7,62
2069,48,Ex. Season Week 5,9,2,17,7,54100,Sunny,73,1,34195,43391,39270,37581,38522,34386,25,15,162,11,8,67,16,60,24,71,5,68,4,43
2069,49,Ex. Season Week 5,16,30,30,21,65300,Sunny,68,0,40864,38324,40076,42607,40240,43533,40,19,201,8,3,57,17,115,7,89,8,109,2,38
2069,50,Ex. Season Week 5,15,3,19,24,78400,Rain,51,15,42550,39998,42623,40082,41976,38516,24,17,214,30,19,139,19,94,21,71,5,76,8,85
2069,51,Ex. Season Week 5,16,23,22,5,35400,Sunny,68,0,42552,42791,40105,40939,38530,36897,36,15,171,25,11,93,19,73,23,78,5,69,6,64
2069,52,Ex. Season Week 5,10,6,13,18,76400,Sunny,68,0,32461,43397,42632,41824,38591,39438,22,14,121,33,13,138,11,49,23,101,7,93,7,93
2069,53,Ex. Season Week 5,6,8,30,15,53000,Sunny,64,2,35856,41781,43466,40061,37672,38518,29,11,83,23,16,147,4,28,32,158,2,33,5,67
2069,54,Ex. Season Week 5,20,31,26,1,60500,Rain,77,7,34178,32457,40056,39248,41147,36876,29,14,126,30,14,158,9,101,21,30,7,150,6,99
2069,55,Ex. Season Week 5,13,11,40,17,51600,Sunny,71,0,33309,40027,40102,35872,34405,36073,31,18,129,17,12,191,20,62,17,38,3,65,3,124
2069,56,Ex. Season Week 5,23,12,7,4,75500,Sunny,63,2,42544,40887,40957,40962,41991,34359,22,16,213,37,22,155,5,24,11,46,6,126,10,61
2069,57,Ex. Season Week 5,7,13,33,10,75300,Rain,80,1,40036,42555,33318,37530,40269,41109,33,14,102,19,14,140,2,7,27,69,6,46,5,103
2069,58,Ex. Season Week 5,19,14,24,0,52300,Sunny,71,3,36686,40019,39228,42648,41927,39400,33,21,243,14,7,124,19,85,15,82,9,167,2,62
2069,59,Ex. Season Week 5,14,16,19,25,70100,Sunny,65,0,38333,40053,37564,42645,36872,41072,34,22,231,29,18,170,11,37,13,31,11,127,7,111
2069,60,Ex. Season Week 5,19,19,16,26,44600,Sunny,79,4,35829,38344,33339,41806,36879,42763,33,22,297,19,9,99,2,19,17,128,11,150,3,38
2069,61,Ex. Season Week 5,13,20,38,9,69300,Rain,63,3,39196,40035,42614,41804,43584,41936,36,14,130,11,9,81,10,88,19,28,5,52,4,51
2069,62,Ex. Season Week 5,15,22,0,29,70400,Sunny,68,0,32466,36685,41822,41821,41106,40267,23,15,114,31,16,124,6,31,14,40,4,40,3,50
2069,63,Ex. Season Week 5,23,28,31,27,22000,Sunny,61,9,40871,35853,41802,39268,39423,34382,27,16,148,27,16,186,12,93,20,58,5,71,4,81
2069,64,Reg. Season Week 1,19,0,10,24,78400,Sunny,59,10,32452,35009,42648,40082,39400,41879,29,18,192,46,33,265,20,65,7,31,5,69,9,71
2069,65,Reg. Season Week 1,12,1,31,4,78100,Rain,64,16,32457,40887,32457,42626,42765,42743,37,17,215,36,22,192,3,27,26,120,4,91,3,59
2069,66,Reg. Season Week 1,19,2,27,6,67000,Sunny,68,0,38351,32461,39270,42641,38522,37720,43,23,258,28,21,273,12,35,13,105,8,95,4,65
2069,67,Reg. Season Week 1,28,30,21,22,65100,Sunny,68,0,38322,32465,38322,39429,40240,39429,48,32,253,31,15,229,3,27,1,34,3,58,7,171
2069,68,Reg. Season Week 1,39,3,31,14,56900,Sunny,70,4,41757,40906,42623,39228,39419,41927,30,22,239,33,20,205,25,90,14,61,1,48,7,64
2069,69,Reg. Season Week 1,30,5,24,9,76700,Sunny,46,9,43410,40035,36718,43434,36897,41936,43,19,218,46,23,234,12,43,14,53,4,66,5,79
2069,70,Reg. Season Week 1,15,7,25,18,78100,Sunny,68,0,38356,34186,38356,41824,39390,39438,33,24,252,25,19,169,5,36,17,81,6,61,7,50
2069,71,Reg. Season Week 1,16,8,30,13,84900,Sunny,77,2,39219,33318,40062,43446,39336,40269,51,25,185,27,14,112,9,26,13,117,7,84,2,34
2069,72,Reg. Season Week 1,14,10,30,15,56500,Sunny,69,2,35862,39190,37530,43458,41140,38518,42,26,266,37,28,345,7,25,7,31,3,69,7,84
2069,73,Reg. Season Week 1,3,11,28,12,78100,Stormy,95,58,40011,40017,39247,40933,34405,41991,37,18,182,49,23,185,9,43,15,34,5,59,9,70
2069,74,Reg. Season Week 1,38,16,30,19,56600,Sunny,74,0,38333,33339,37564,33339,36872,36879,24,17,315,40,22,228,22,53,5,34,5,82,6,82
2069,75,Reg. Season Week 1,17,17,16,27,23200,Sunny,78,0,32439,32462,39274,39268,36073,40226,46,29,254,34,23,237,10,65,9,35,8,77,7,66
2069,76,Reg. Season Week 1,23,20,29,23,73800,Sunny,58,10,36660,37520,42614,37520,41023,39377,42,22,176,47,30,402,14,93,6,38,8,87,10,135
2069,77,Reg. Season Week 1,17,21,20,29,73100,Sunny,68,0,38324,40891,38324,41821,42788,42798,36,20,246,42,24,292,7,31,20,64,4,67,8,141
2069,78,Reg. Season Week 1,14,25,37,26,46100,Sunny,80,10,40053,40050,42647,41806,41072,41806,15,9,98,21,16,127,9,27,32,234,3,52,7,69
2069,79,Reg. Season Week 1,38,28,35,31,63200,Sunny,60,0,30812,42574,41802,43431,39423,36036,51,32,378,42,29,313,14,67,14,65,7,147,8,136
2069,80,Reg. Season Week 2,10,1,45,19,57200,Sunny,76,0,41727,33339,39248,33339,40251,36879,20,10,118,18,14,249,9,53,7,49,5,97,4,153
2069,81,Reg. Season Week 2,30,27,7,14,53700,Sunny,84,4,41725,40906,39268,40906,34382,41927,28,15,180,31,19,126,15,79,10,53,3,58,5,37
2069,82,Reg. Season Week 2,10,4,20,3,79500,Sunny,67,12,40887,41757,42626,42623,38481,41976,27,14,109,29,18,205,19,57,26,155,2,27,8,93
2069,83,Reg. Season Week 2,12,5,22,2,66900,Sunny,60,1,37475,38351,40939,39270,42791,38522,41,21,217,39,27,262,11,25,14,51,5,85,10,110
2069,84,Reg. Season Week 2,8,6,25,10,76600,Sunny,68,1,32461,35862,32461,37530,38591,41109,35,20,200,36,16,172,3,19,30,116,9,87,8,87
2069,85,Reg. Season Week 2,7,7,31,23,74300,Sunny,79,2,38356,37520,37581,40105,41090,36801,13,9,119,47,30,284,8,38,16,107,4,114,9,111
2069,86,Reg. Season Week 2,10,11,17,0,58900,Sunny,106,7,40011,32452,39247,42648,36072,39400,42,22,176,36,19,217,9,47,27,123,8,81,5,62
2069,87,Reg. Season Week 2,27,13,14,18,78100,Sunny,68,0,33318,34186,43446,41824,38554,39438,36,19,221,47,26,280,10,57,14,51,5,110,4,66
2069,88,Reg. Season Week 2,12,26,7,12,78100,Sunny,63,4,40050,38312,41806,38312,42763,41991,37,18,262,34,18,176,27,112,2,14,5,69,7,100
2069,89,Reg. Season Week 2,19,15,34,30,22400,Sunny,68,0,39190,38322,37561,42637,38518,40240,46,23,280,33,19,252,12,76,11,60,5,83,6,89
2069,90,Reg. Season Week 2,16,16,13,17,51600,Sunny,63,0,38333,40027,37564,39274,36872,40247,63,36,321,36,23,270,15,32,11,59,16,178,6,96
2069,91,Reg. Season Week 2,3,20,13,29,73100,Sunny,68,0,36660,36685,42614,41821,42614,40174,37,22,197,33,18,171,16,36,15,23,3,67,2,43
2069,92,Reg. Season Week 2,14,21,29,8,20200,Sunny,63,19,36636,39219,40104,40953,40238,37672,7,6,94,44,30,275,11,29,15,36,5,90,6,94
2069,93,Reg. Season Week 2,9,22,31,9,78200,Sunny,78,6,32465,40035,43462,43434,40198,41972,22,15,154,21,17,196,8,29,27,198,4,55,4,62
2069,94,Reg. Season Week 2,20,24,27,31,59900,Sunny,93,0,35009,42574,40082,43431,40082,41147,40,25,216,40,20,219,14,54,10,80,5,41,7,86
2069,95,Reg. Season Week 2,17,28,31,25,80200,Sunny,83,0,30812,39189,41802,42647,42803,42645,38,21,215,25,12,104,11,68,17,100,6,98,2,39
2069,96,Reg. Season Week 3,3,1,20,26,47600,Sunny,61,9,32457,40050,39248,41806,39395,40208,31,22,159,24,13,128,12,36,33,154,5,59,4,48
2069,97,Reg. Season Week 3,24,23,10,3,79500,Sunny,65,12,37520,41757,40060,41757,36801,41976,27,20,177,36,23,250,12,64,3,31,5,58,10,138
2069,98,Reg. Season Week 3,26,4,18,0,63800,Sunny,78,8,40887,32452,42626,42648,38481,39400,41,25,257,24,17,113,30,115,8,31,7,85,4,47
2069,99,Reg. Season Week 3,16,5,49,17,51600,Sunny,74,0,37475,40027,40939,39274,42791,37620,20,13,142,29,24,315,8,29,16,118,4,70,6,86
2069,100,Reg. Season Week 3,6,6,34,11,58300,Sunny,68,0,32461,40011,42632,39247,36883,34405,40,20,236,37,27,328,11,39,8,38,9,113,8,101
2069,101,Reg. Season Week 3,7,7,24,15,54200,Sunny,59,8,40886,39190,37550,37561,39390,38518,26,16,167,28,19,179,6,10,22,102,5,88,8,78
2069,102,Reg. Season Week 3,27,10,33,27,22800,Sunny,54,4,35862,41725,37530,39268,36881,40226,46,25,312,32,19,317,14,76,12,46,6,127,8,183
2069,103,Reg. Season Week 3,24,31,20,20,65100,Sunny,74,4,42574,36660,43431,42614,40282,33542,31,21,236,41,26,257,12,43,16,118,6,53,9,120
2069,104,Reg. Season Week 3,24,12,13,8,20400,Sunny,71,12,40017,39219,40957,43466,41991,37672,20,14,132,49,29,260,13,43,7,30,6,52,8,101
2069,105,Reg. Season Week 3,22,13,10,16,62800,Sunny,58,0,33318,35855,41810,37564,43600,36872,25,15,151,38,26,305,15,87,10,37,3,37,9,70
2069,106,Reg. Season Week 3,6,14,27,2,64300,Sunny,72,0,40906,38351,39228,40921,36837,41143,29,23,201,27,22,289,11,73,13,74,4,62,8,127
2069,107,Reg. Season Week 3,26,19,33,30,23100,Sunny,68,0,33339,38322,41797,42637,41064,43536,38,26,286,22,13,140,28,78,10,66,6,87,1,49
2069,108,Reg. Season Week 3,25,21,13,9,75900,Sunny,48,1,38324,40035,40104,43434,40104,41972,37,25,380,34,18,138,22,28,15,29,4,120,5,52
2069,109,Reg. Season Week 3,21,22,13,28,78300,Sunny,79,0,32465,30812,43462,41802,41069,41043,28,19,172,38,24,271,15,32,13,26,7,75,5,105
2069,110,Reg. Season Week 3,20,25,0,29,74800,Sunny,68,0,39189,38339,42645,41821,34432,41821,33,23,259,22,16,132,15,58,17,50,6,71,6,67
2069,111,Reg. Season Week 3,21,24,34,18,78100,Sunny,68,0,35009,34186,40082,40090,38516,39438,39,22,209,44,34,314,11,92,17,44,6,85,10,89
2069,112,Reg. Season Week 4,18,0,24,10,76600,Sunny,54,8,32452,35862,42648,41819,42648,36881,27,17,168,35,23,264,11,46,11,102,4,74,7,110
2069,113,Reg. Season Week 4,7,1,13,21,66500,Sunny,68,0,32457,38324,39248,40104,40251,40238,41,21,181,24,15,137,9,31,27,83,6,97,3,38
2069,114,Reg. Season Week 4,21,3,29,28,78300,Sunny,52,0,41757,30812,42623,41802,41976,41043,51,30,219,39,24,313,12,36,20,36,15,145,6,82
2069,115,Reg. Season Week 4,17,23,29,22,65900,Sunny,68,0,37520,32465,40060,43462,36801,40198,44,29,223,38,27,351,9,44,16,41,6,59,6,138
2069,116,Reg. Season Week 4,23,7,13,4,78100,Sunny,74,5,38356,40887,37550,42626,41090,42743,31,19,226,44,26,286,15,63,14,60,4,80,5,97
2069,117,Reg. Season Week 4,17,31,16,11,59300,Sunny,68,0,42574,40011,43431,40102,40282,36072,45,25,282,38,20,219,14,105,7,37,4,93,4,118
2069,118,Reg. Season Week 4,23,12,16,19,57600,Sunny,78,0,38312,33339,36746,41797,41991,41797,39,23,290,32,14,146,9,46,21,110,4,85,3,34
2069,119,Reg. Season Week 4,30,13,3,2,70700,Sunny,62,1,33318,38351,43446,34195,38554,38522,33,21,213,28,17,160,14,87,3,14,5,52,7,82
2069,120,Reg. Season Week 4,16,26,23,9,77400,Sunny,47,4,40050,40035,40050,43434,40208,41936,41,25,220,30,21,204,4,33,18,100,4,50,5,88
2069,121,Reg. Season Week 4,13,16,16,14,52100,Sunny,70,7,35855,36686,37564,42601,36872,43583,46,30,275,28,23,255,15,44,13,21,18,194,7,119
2069,122,Reg. Season Week 4,18,18,26,17,51600,Sunny,69,0,34186,40027,40090,39274,39438,36073,50,27,322,27,21,198,9,27,10,76,10,149,5,64
2069,123,Reg. Season Week 4,23,20,37,6,67000,Sunny,68,0,36660,32461,40074,42641,43627,38591,49,28,305,37,24,245,15,56,12,93,10,101,6,88
2069,124,Reg. Season Week 4,20,25,24,5,36600,Sunny,68,0,39189,37475,39189,40939,41072,40939,35,18,173,38,22,247,12,51,15,57,5,68,6,57
2069,125,Reg. Season Week 4,20,29,16,27,22900,Rain,70,6,40891,41725,41821,41725,40267,40173,36,24,267,29,16,159,8,53,17,122,4,69,4,89
2069,126,Reg. Season Week 5,15,0,20,5,37700,Sunny,68,0,40019,37475,42648,36718,41089,42791,48,24,266,30,23,252,15,35,9,64,5,77,7,75
2069,127,Reg. Season Week 5,37,27,9,7,59800,Rain,75,11,41725,38356,39268,37550,40175,35164,35,20,211,35,21,191,12,54,11,28,6,63,5,49
2069,128,Reg. Season Week 5,30,2,17,20,64600,Sunny,55,0,38351,36660,39270,38412,38522,42698,40,31,315,20,10,145,25,94,6,21,11,99,4,64
2069,129,Reg. Season Week 5,20,3,21,11,59100,Sunny,68,0,41757,40011,42623,39247,41976,34405,42,26,250,34,20,271,23,69,10,51,8,82,8,119
2069,130,Reg. Season Week 5,17,4,14,18,78100,Sunny,68,0,40887,34186,42626,40090,42743,40090,31,25,239,31,20,245,25,129,9,14,7,111,8,85
2069,131,Reg. Season Week 5,26,8,10,30,23100,Sunny,68,0,39219,38322,40062,42619,37672,41956,41,25,274,21,14,144,14,39,5,23,7,76,4,51
2069,132,Reg. Season Week 5,17,10,10,26,51000,Sunny,62,10,35862,40050,37530,41806,37530,42763,38,20,215,41,21,219,14,55,21,68,4,64,4,52
2069,133,Reg. Season Week 5,13,14,9,12,78100,Stormy,81,23,36686,40017,39228,40933,41927,41130,31,19,137,47,23,198,12,42,10,27,7,55,5,52
2069,134,Reg. Season Week 5,40,19,30,31,65400,Sunny,56,0,33339,42574,41797,43431,36879,40282,17,13,168,46,23,297,15,68,20,133,7,116,7,111
2069,135,Reg. Season Week 5,23,17,26,21,70200,Sunny,68,0,40027,38324,39274,38324,38520,36057,28,19,228,49,31,301,9,90,8,53,5,50,10,110
2069,136,Reg. Season Week 5,17,22,13,6,67100,Sunny,68,0,32465,32461,43462,42632,39429,42802,33,22,217,35,21,247,17,61,12,49,5,60,4,59
2069,137,Reg. Season Week 5,15,24,5,15,56500,Sunny,32,10,35009,39190,40082,37561,41879,41066,41,27,163,40,22,209,11,106,8,47,9,46,5,81
2069,138,Reg. Season Week 5,20,28,10,16,61400,Sunny,66,0,30812,35855,41802,35855,39423,39440,29,16,204,39,22,185,23,26,5,34,6,72,2,53
2069,139,Reg. Season Week 5,23,29,20,1,60500,Rain,55,18,38339,32457,41821,39248,42798,42765,34,26,360,37,25,294,15,68,10,46,7,174,7,79
2069,140,Reg. Season Week 6,16,1,3,27,22200,Sunny,62,6,32457,32462,39248,43425,42691,40226,28,20,169,38,24,174,20,113,5,32,5,45,7,61
2069,141,Reg. Season Week 6,42,23,23,2,73500,Sunny,72,9,37520,34195,40105,34195,36801,36018,32,22,185,40,20,281,13,113,11,74,6,68,6,77
2069,142,Reg. Season Week 6,23,5,17,26,50500,Sunny,70,5,37475,40050,40939,41806,37622,41806,26,11,141,40,22,282,18,50,12,46,3,74,3,85
2069,143,Reg. Season Week 6,24,6,27,13,84900,Rain,71,13,32461,40036,42632,41810,37720,38554,38,21,238,45,25,308,9,30,8,73,5,58,8,109
2069,144,Reg. Season Week 6,9,7,20,29,76600,Sunny,68,0,38356,40891,37550,41821,41090,41821,38,17,109,30,23,203,10,70,22,189,5,29,5,56
2069,145,Reg. Season Week 6,24,9,30,10,76600,Sunny,66,3,40035,35862,43434,37530,39399,36881,34,22,157,44,23,230,15,131,10,84,3,56,7,71
2069,146,Reg. Season Week 6,21,31,27,3,79500,Rain,51,17,42574,41757,43431,42623,41147,41976,59,30,259,36,25,201,16,60,18,36,10,88,9,107
2069,147,Reg. Season Week 6,16,12,31,11,59300,Sunny,68,0,38312,40011,40957,40102,41991,36072,46,26,323,30,16,153,9,72,25,85,7,100,5,65
2069,148,Reg. Season Week 6,18,15,9,0,56400,Sunny,96,4,39190,40019,38382,42648,38518,39400,31,18,167,35,19,196,9,61,17,95,5,52,5,72
2069,149,Reg. Season Week 6,34,20,31,30,22400,Sunny,68,0,36660,38322,42614,38416,41023,40240,41,24,309,36,25,358,18,70,7,25,9,91,8,131
2069,150,Reg. Season Week 6,18,21,34,4,78100,Sunny,79,4,36636,40887,40104,42626,36057,34359,19,13,190,36,22,203,14,39,23,103,9,88,5,65
2069,151,Reg. Season Week 6,3,22,29,8,21100,Sunny,45,8,32465,39219,41822,40953,39429,39336,27,17,188,29,22,305,9,35,14,114,5,115,5,91
2069,152,Reg. Season Week 6,13,25,31,24,78400,Sunny,52,8,40053,35009,42645,40082,37714,38516,12,7,119,40,24,304,7,72,13,81,5,52,6,78
2069,153,Reg. Season Week 6,3,28,13,14,57800,Sunny,64,8,30812,36686,41802,39228,41043,43583,52,35,281,31,17,178,15,49,12,105,9,97,3,71
2069,154,Reg. Season Week 7,14,2,19,8,20400,Sunny,64,1,38351,39219,40921,40953,38522,39336,34,21,260,41,26,243,23,81,9,27,12,138,9,77
2069,155,Reg. Season Week 7,3,30,20,23,74300,Sunny,73,2,38322,37520,42637,40105,40240,37749,37,18,198,6,5,85,3,36,24,82,6,104,5,75
2069,156,Reg. Season Week 7,9,4,17,1,61800,Rain,45,10,40887,32457,40887,39248,42743,42691,34,15,167,39,24,256,6,60,14,17,3,46,5,71
2069,157,Reg. Season Week 7,3,9,19,25,76800,Sunny,47,0,40035,39189,43434,42645,41936,41072,55,30,312,29,15,231,11,33,13,82,12,162,4,74
2069,158,Reg. Season Week 7,13,11,25,19,56600,Sunny,56,0,40011,35829,40102,41797,34405,36879,40,25,237,30,21,223,9,49,18,70,8,109,8,143
2069,159,Reg. Season Week 7,20,12,24,28,78300,Sunny,69,0,38312,40871,36746,40871,41991,42803,41,30,357,29,21,249,4,23,5,20,10,149,4,80
2069,160,Reg. Season Week 7,20,26,19,15,57000,Sunny,40,4,40050,39190,43436,37561,35987,41977,23,11,104,38,27,231,7,40,14,34,2,52,6,64
2069,161,Reg. Season Week 7,14,14,20,3,79500,Sunny,52,11,36686,41757,39228,42623,41927,35229,34,20,155,35,20,184,16,66,17,57,10,63,3,52
