Category,Team/All_Teams,Place,Record,Year,Team
Points Allowed,0,12,191,2036,0
Points Allowed,0,13,191,2046,0
Points Allowed,0,14,193,2042,0
Points Allowed,0,15,195,2056,0
Points Allowed,0,16,199,2045,0
Points Allowed,0,17,204,2060,0
Points Allowed,0,18,205,2053,0
Points Allowed,0,19,205,2064,0
Points Allowed,0,20,208,2025,0
Points Allowed,0,21,208,2044,0
Points Allowed,0,22,209,2050,0
Points Allowed,0,23,215,2052,0
Points Allowed,0,24,215,2059,0
Points Allowed,0,25,216,2037,0
Points Allowed,0,26,218,2039,0
Points Allowed,0,27,220,2058,0
Points Allowed,0,28,221,2021,0
Points Allowed,0,29,222,2047,0
Points Allowed,0,30,223,2063,0
Points Allowed,0,31,224,2057,0
Points Allowed,0,32,224,2068,0
Points Allowed,0,33,225,2023,0
Points Allowed,0,34,225,2027,0
Points Allowed,0,35,225,2031,0
Points Allowed,0,36,226,2026,0
Points Allowed,0,37,233,2066,0
Points Allowed,0,38,235,2055,0
Points Allowed,0,39,236,2065,0
Points Allowed,0,40,237,2054,0
Points Allowed,0,41,238,2038,0
Points Allowed,0,42,239,2067,0
Points Allowed,0,43,245,2034,0
Points Allowed,0,44,246,2032,0
Points Allowed,0,45,249,2029,0
Points Allowed,0,46,251,2030,0
Points Allowed,0,47,265,2051,0
Points Allowed,0,48,271,2033,0
Points Allowed,0,49,273,2028,0
Passing Yards,0,0,2843,2038,0
Passing Yards,0,1,2748,2039,0
Passing Yards,0,2,2729,2043,0
Passing Yards,0,3,2723,2046,0
Passing Yards,0,4,2689,2059,0
Passing Yards,0,5,2661,2040,0
Passing Yards,0,6,2658,2045,0
Passing Yards,0,7,2593,2047,0
Passing Yards,0,8,2580,2062,0
Passing Yards,0,9,2556,2068,0
Passing Yards,0,10,2549,2065,0
Passing Yards,0,11,2522,2048,0
Passing Yards,0,12,2514,2044,0
Passing Yards,0,13,2510,2064,0
Passing Yards,0,14,2506,2050,0
Passing Yards,0,15,2506,2067,0
Passing Yards,0,16,2461,2034,0
Passing Yards,0,17,2437,2035,0
Passing Yards,0,18,2433,2037,0
Passing Yards,0,19,2408,2028,0
Passing Yards,0,20,2398,2024,0
Passing Yards,0,21,2397,2022,0
Passing Yards,0,22,2390,2053,0
Passing Yards,0,23,2372,2023,0
Passing Yards,0,24,2372,2063,0
Passing Yards,0,25,2357,2033,0
Passing Yards,0,26,2352,2031,0
Passing Yards,0,27,2350,2027,0
Passing Yards,0,28,2343,2025,0
Passing Yards,0,29,2338,2060,0
Passing Yards,0,30,2328,2042,0
Passing Yards,0,31,2295,2032,0
Passing Yards,0,32,2283,2066,0
Passing Yards,0,33,2272,2058,0
Passing Yards,0,34,2265,2021,0
Passing Yards,0,35,2265,2049,0
Passing Yards,0,36,2244,2041,0
Passing Yards,0,37,2223,2056,0
Passing Yards,0,38,2195,2020,0
Passing Yards,0,39,2193,2029,0
Passing Yards,0,40,2187,2030,0
Passing Yards,0,41,2177,2036,0
Passing Yards,0,42,2139,2061,0
Passing Yards,0,43,2130,2026,0
Passing Yards,0,44,2122,2069,0
Passing Yards,0,45,2112,2054,0
Passing Yards,0,46,2104,2055,0
Passing Yards,0,47,2088,2051,0
Passing Yards,0,48,2036,2052,0
Passing Yards,0,49,1995,2057,0
Passing Yards Allowed,0,0,1908,2052,0
Passing Yards Allowed,0,1,1915,2053,0
Passing Yards Allowed,0,2,1985,2068,0
Passing Yards Allowed,0,3,1986,2063,0
Passing Yards Allowed,0,4,2101,2028,0
Passing Yards Allowed,0,5,2121,2056,0
Passing Yards Allowed,0,6,2132,2036,0
Passing Yards Allowed,0,7,2143,2040,0
Passing Yards Allowed,0,8,2159,2046,0
Passing Yards Allowed,0,9,2170,2050,0
Passing Yards Allowed,0,10,2171,2061,0
Passing Yards Allowed,0,11,2174,2062,0
Passing Yards Allowed,0,12,2175,2049,0
Passing Yards Allowed,0,13,2189,2054,0
Passing Yards Allowed,0,14,2196,2064,0
Passing Yards Allowed,0,15,2204,2060,0
Passing Yards Allowed,0,16,2207,2035,0
Passing Yards Allowed,0,17,2215,2030,0
Passing Yards Allowed,0,18,2230,2066,0
Passing Yards Allowed,0,19,2231,2041,0
Passing Yards Allowed,0,20,2248,2042,0
Passing Yards Allowed,0,21,2260,2069,0
Passing Yards Allowed,0,22,2266,2038,0
Passing Yards Allowed,0,23,2276,2020,0
Passing Yards Allowed,0,24,2281,2031,0
Passing Yards Allowed,0,25,2289,2067,0
Passing Yards Allowed,0,26,2305,2037,0
Passing Yards Allowed,0,27,2338,2048,0
Passing Yards Allowed,0,28,2340,2059,0
Passing Yards Allowed,0,29,2350,2055,0
Passing Yards Allowed,0,30,2364,2033,0
Passing Yards Allowed,0,31,2373,2027,0
Passing Yards Allowed,0,32,2388,2057,0
Passing Yards Allowed,0,33,2401,2029,0
Passing Yards Allowed,0,34,2407,2024,0
Passing Yards Allowed,0,35,2418,2044,0
Passing Yards Allowed,0,36,2420,2021,0
Passing Yards Allowed,0,37,2431,2034,0
Passing Yards Allowed,0,38,2445,2022,0
Passing Yards Allowed,0,39,2446,2051,0
Passing Yards Allowed,0,40,2448,2026,0
Passing Yards Allowed,0,41,2450,2043,0
Passing Yards Allowed,0,42,2457,2039,0
Passing Yards Allowed,0,43,2481,2032,0
Passing Yards Allowed,0,44,2491,2065,0
Passing Yards Allowed,0,45,2500,2025,0
Passing Yards Allowed,0,46,2514,2047,0
Passing Yards Allowed,0,47,2531,2023,0
Passing Yards Allowed,0,48,2594,2045,0
Passing Yards Allowed,0,49,2667,2058,0
Rushing Yards,0,0,1194,2064,0
Rushing Yards,0,1,1180,2051,0
Rushing Yards,0,2,1166,2032,0
Rushing Yards,0,3,1161,2061,0
Rushing Yards,0,4,1154,2049,0
Rushing Yards,0,5,1138,2058,0
Rushing Yards,0,6,1137,2045,0
Rushing Yards,0,7,1131,2036,0
Rushing Yards,0,8,1124,2035,0
Rushing Yards,0,9,1100,2031,0
Rushing Yards,0,10,1099,2063,0
Rushing Yards,0,11,1091,2069,0
Rushing Yards,0,12,1089,2041,0
Rushing Yards,0,13,1078,2024,0
Rushing Yards,0,14,1063,2021,0
Rushing Yards,0,15,1063,2056,0
Rushing Yards,0,16,1045,2037,0
Rushing Yards,0,17,1043,2062,0
Rushing Yards,0,18,1042,2027,0
Rushing Yards,0,19,1034,2050,0
Rushing Yards,0,20,1028,2068,0
Rushing Yards,0,21,1019,2055,0
Rushing Yards,0,22,1000,2038,0
Rushing Yards,0,23,995,2030,0
Rushing Yards,0,24,986,2065,0
Rushing Yards,0,25,981,2020,0
Rushing Yards,0,26,973,2059,0
Rushing Yards,0,27,973,2060,0
Rushing Yards,0,28,970,2040,0
Rushing Yards,0,29,966,2052,0
Rushing Yards,0,30,960,2029,0
Rushing Yards,0,31,960,2044,0
Rushing Yards,0,32,958,2048,0
Rushing Yards,0,33,946,2028,0
Rushing Yards,0,34,914,2039,0
Rushing Yards,0,35,895,2046,0
Rushing Yards,0,36,895,2054,0
Rushing Yards,0,37,892,2023,0
Rushing Yards,0,38,880,2025,0
Rushing Yards,0,39,877,2026,0
Rushing Yards,0,40,863,2043,0
Rushing Yards,0,41,860,2022,0
Rushing Yards,0,42,859,2042,0
Rushing Yards,0,43,844,2053,0
Rushing Yards,0,44,836,2066,0
Rushing Yards,0,45,834,2033,0
Rushing Yards,0,46,820,2034,0
Rushing Yards,0,47,736,2067,0
Rushing Yards,0,48,662,2047,0
Rushing Yards,0,49,657,2057,0
Rushing Yards Allowed,0,0,798,2043,0
Rushing Yards Allowed,0,1,821,2045,0
Rushing Yards Allowed,0,2,877,2020,0
Rushing Yards Allowed,0,3,882,2063,0
Rushing Yards Allowed,0,4,889,2064,0
Rushing Yards Allowed,0,5,893,2059,0
Rushing Yards Allowed,0,6,915,2061,0
Rushing Yards Allowed,0,7,961,2040,0
Rushing Yards Allowed,0,8,973,2060,0
Rushing Yards Allowed,0,9,979,2021,0
Rushing Yards Allowed,0,10,995,2041,0
Rushing Yards Allowed,0,11,1029,2048,0
Rushing Yards Allowed,0,12,1035,2056,0
Rushing Yards Allowed,0,13,1040,2022,0
Rushing Yards Allowed,0,14,1065,2058,0
Rushing Yards Allowed,0,15,1074,2032,0
Rushing Yards Allowed,0,16,1086,2062,0
Rushing Yards Allowed,0,17,1101,2055,0
Rushing Yards Allowed,0,18,1113,2023,0
Rushing Yards Allowed,0,19,1134,2035,0
Rushing Yards Allowed,0,20,1135,2024,0
Rushing Yards Allowed,0,21,1143,2057,0
Rushing Yards Allowed,0,22,1148,2053,0
Rushing Yards Allowed,0,23,1166,2026,0
Rushing Yards Allowed,0,24,1176,2044,0
Rushing Yards Allowed,0,25,1181,2046,0
Rushing Yards Allowed,0,26,1192,2030,0
Rushing Yards Allowed,0,27,1192,2065,0
Rushing Yards Allowed,0,28,1200,2039,0
Rushing Yards Allowed,0,29,1204,2037,0
Rushing Yards Allowed,0,30,1208,2047,0
Rushing Yards Allowed,0,31,1210,2025,0
Rushing Yards Allowed,0,32,1214,2042,0
Rushing Yards Allowed,0,33,1228,2027,0
Rushing Yards Allowed,0,34,1236,2054,0
Rushing Yards Allowed,0,35,1246,2052,0
Rushing Yards Allowed,0,36,1248,2066,0
Rushing Yards Allowed,0,37,1253,2050,0
Rushing Yards Allowed,0,38,1286,2069,0
Rushing Yards Allowed,0,39,1311,2049,0
Rushing Yards Allowed,0,40,1316,2038,0
Rushing Yards Allowed,0,41,1366,2029,0
Rushing Yards Allowed,0,42,1366,2051,0
Rushing Yards Allowed,0,43,1375,2036,0
Rushing Yards Allowed,0,44,1386,2031,0
Rushing Yards Allowed,0,45,1438,2068,0
Rushing Yards Allowed,0,46,1444,2034,0
Rushing Yards Allowed,0,47,1451,2067,0
Rushing Yards Allowed,0,48,1521,2033,0
Rushing Yards Allowed,0,49,1666,2028,0
Total Yards,0,0,3843,2038,0
Total Yards,0,1,3795,2045,0
Total Yards,0,2,3704,2064,0
Total Yards,0,3,3662,2039,0
Total Yards,0,4,3662,2059,0
Total Yards,0,5,3632,2040,0
Total Yards,0,6,3624,2062,0
Total Yards,0,7,3618,2046,0
Total Yards,0,8,3593,2043,0
Total Yards,0,9,3585,2068,0
Total Yards,0,10,3561,2035,0
Total Yards,0,11,3541,2050,0
Total Yards,0,12,3536,2065,0
Total Yards,0,13,3480,2048,0
Total Yards,0,14,3478,2037,0
Total Yards,0,15,3476,2024,0
Total Yards,0,16,3474,2044,0
Total Yards,0,17,3471,2063,0
Total Yards,0,18,3461,2032,0
Total Yards,0,19,3452,2031,0
Total Yards,0,20,3419,2049,0
Total Yards,0,21,3410,2058,0
Total Yards,0,22,3393,2027,0
Total Yards,0,23,3354,2028,0
Total Yards,0,24,3333,2041,0
Total Yards,0,25,3328,2021,0
Total Yards,0,26,3312,2060,0
Total Yards,0,27,3308,2036,0
Total Yards,0,28,3301,2061,0
Total Yards,0,29,3287,2056,0
Total Yards,0,30,3281,2034,0
Total Yards,0,31,3268,2051,0
Total Yards,0,32,3265,2023,0
Total Yards,0,33,3258,2022,0
Total Yards,0,34,3256,2047,0
Total Yards,0,35,3243,2067,0
Total Yards,0,36,3235,2053,0
Total Yards,0,37,3223,2025,0
Total Yards,0,38,3213,2069,0
Total Yards,0,39,3191,2033,0
Total Yards,0,40,3187,2042,0
Total Yards,0,41,3183,2030,0
Total Yards,0,42,3176,2020,0
Total Yards,0,43,3153,2029,0
Total Yards,0,44,3123,2055,0
Total Yards,0,45,3120,2066,0
Total Yards,0,46,3008,2026,0
Total Yards,0,47,3008,2054,0
Total Yards,0,48,3003,2052,0
Total Yards,0,49,2653,2057,0
Total Yards Allowed,0,0,2869,2063,0
Total Yards Allowed,0,1,3063,2053,0
Total Yards Allowed,0,2,3086,2064,0
Total Yards Allowed,0,3,3087,2061,0
Total Yards Allowed,0,4,3105,2040,0
Total Yards Allowed,0,5,3153,2020,0
Total Yards Allowed,0,6,3155,2052,0
Total Yards Allowed,0,7,3156,2056,0
Total Yards Allowed,0,8,3178,2060,0
Total Yards Allowed,0,9,3226,2041,0
Total Yards Allowed,0,10,3233,2059,0
Total Yards Allowed,0,11,3248,2043,0
Total Yards Allowed,0,12,3260,2062,0
Total Yards Allowed,0,13,3340,2046,0
Total Yards Allowed,0,14,3341,2035,0
Total Yards Allowed,0,15,3367,2048,0
Total Yards Allowed,0,16,3399,2021,0
Total Yards Allowed,0,17,3407,2030,0
Total Yards Allowed,0,18,3416,2045,0
Total Yards Allowed,0,19,3423,2050,0
Total Yards Allowed,0,20,3423,2068,0
Total Yards Allowed,0,21,3425,2054,0
Total Yards Allowed,0,22,3451,2055,0
Total Yards Allowed,0,23,3462,2042,0
Total Yards Allowed,0,24,3478,2066,0
Total Yards Allowed,0,25,3485,2022,0
Total Yards Allowed,0,26,3486,2049,0
Total Yards Allowed,0,27,3508,2036,0
Total Yards Allowed,0,28,3510,2037,0
Total Yards Allowed,0,29,3531,2057,0
Total Yards Allowed,0,30,3542,2024,0
Total Yards Allowed,0,31,3546,2069,0
Total Yards Allowed,0,32,3556,2032,0
Total Yards Allowed,0,33,3582,2038,0
Total Yards Allowed,0,34,3595,2044,0
Total Yards Allowed,0,35,3601,2027,0
Total Yards Allowed,0,36,3615,2026,0
Total Yards Allowed,0,37,3644,2023,0
Total Yards Allowed,0,38,3658,2039,0
Total Yards Allowed,0,39,3668,2031,0
Total Yards Allowed,0,40,3684,2065,0
Total Yards Allowed,0,41,3710,2025,0
Total Yards Allowed,0,42,3723,2047,0
Total Yards Allowed,0,43,3732,2058,0
Total Yards Allowed,0,44,3740,2067,0
Total Yards Allowed,0,45,3768,2028,0
Total Yards Allowed,0,46,3768,2029,0
Total Yards Allowed,0,47,3812,2051,0
Total Yards Allowed,0,48,3876,2034,0
Total Yards Allowed,0,49,3886,2033,0
Pass Attempts,0,0,427,2059,0
Pass Attempts,0,1,418,2053,0
Pass Attempts,0,2,415,2047,0
Pass Attempts,0,3,413,2063,0
Pass Attempts,0,4,409,2048,0
Pass Attempts,0,5,406,2030,0
Pass Attempts,0,6,401,2040,0
Pass Attempts,0,7,400,2062,0
Pass Attempts,0,8,399,2038,0
Pass Attempts,0,9,398,2028,0
Pass Attempts,0,10,398,2046,0
Pass Attempts,0,11,398,2066,0
Pass Attempts,0,12,394,2060,0
Pass Attempts,0,13,393,2045,0
Pass Attempts,0,14,391,2043,0
Pass Attempts,0,15,390,2065,0
Pass Attempts,0,16,386,2027,0
Pass Attempts,0,17,385,2033,0
Pass Attempts,0,18,383,2057,0
Pass Attempts,0,19,381,2049,0
Pass Attempts,0,20,381,2058,0
Pass Attempts,0,21,380,2056,0
Pass Attempts,0,22,380,2068,0
Pass Attempts,0,23,378,2029,0
Pass Attempts,0,24,377,2042,0
Pass Attempts,0,25,377,2050,0
Pass Attempts,0,26,376,2054,0
Pass Attempts,0,27,375,2044,0
Pass Attempts,0,28,373,2039,0
Pass Attempts,0,29,373,2052,0
Pass Attempts,0,30,373,2064,0
Pass Attempts,0,31,372,2067,0
Pass Attempts,0,32,369,2034,0
Pass Attempts,0,33,369,2051,0
Pass Attempts,0,34,368,2041,0
Pass Attempts,0,35,368,2055,0
Pass Attempts,0,36,363,2025,0
Pass Attempts,0,37,359,2036,0
Pass Attempts,0,38,358,2037,0
Pass Attempts,0,39,357,2031,0
Pass Attempts,0,40,355,2061,0
Pass Attempts,0,41,354,2032,0
Pass Attempts,0,42,351,2035,0
Pass Attempts,0,43,345,2020,0
Pass Attempts,0,44,344,2023,0
Pass Attempts,0,45,344,2069,0
Pass Attempts,0,46,343,2021,0
Pass Attempts,0,47,341,2026,0
Pass Attempts,0,48,335,2022,0
Pass Attempts,0,49,322,2024,0
Rush Attempts,0,0,292,2041,0
Rush Attempts,0,1,291,2021,0
Rush Attempts,0,2,283,2022,0
Rush Attempts,0,3,282,2035,0
Rush Attempts,0,4,281,2064,0
Rush Attempts,0,5,277,2061,0
Rush Attempts,0,6,275,2045,0
Rush Attempts,0,7,272,2024,0
Rush Attempts,0,8,271,2043,0
Rush Attempts,0,9,268,2020,0
Rush Attempts,0,10,266,2032,0
Rush Attempts,0,11,265,2023,0
Rush Attempts,0,12,265,2040,0
Rush Attempts,0,13,264,2027,0
Rush Attempts,0,14,263,2069,0
Rush Attempts,0,15,261,2031,0
Rush Attempts,0,16,260,2037,0
Rush Attempts,0,17,258,2036,0
Rush Attempts,0,18,257,2039,0
Rush Attempts,0,19,256,2038,0
Rush Attempts,0,20,255,2028,0
Rush Attempts,0,21,255,2055,0
Rush Attempts,0,22,253,2044,0
Rush Attempts,0,23,251,2058,0
Rush Attempts,0,24,250,2052,0
Rush Attempts,0,25,250,2062,0
Rush Attempts,0,26,249,2065,0
Rush Attempts,0,27,248,2042,0
Rush Attempts,0,28,247,2049,0
Rush Attempts,0,29,247,2063,0
Rush Attempts,0,30,245,2029,0
Rush Attempts,0,31,243,2026,0
Rush Attempts,0,32,242,2068,0
Rush Attempts,0,33,241,2056,0
Rush Attempts,0,34,241,2059,0
Rush Attempts,0,35,241,2060,0
Rush Attempts,0,36,240,2025,0
Rush Attempts,0,37,239,2050,0
Rush Attempts,0,38,237,2048,0
Rush Attempts,0,39,233,2046,0
Rush Attempts,0,40,231,2030,0
Rush Attempts,0,41,230,2051,0
Rush Attempts,0,42,228,2053,0
Rush Attempts,0,43,228,2054,0
Rush Attempts,0,44,225,2047,0
Rush Attempts,0,45,223,2066,0
Rush Attempts,0,46,222,2034,0
Rush Attempts,0,47,218,2033,0
Rush Attempts,0,48,217,2057,0
Rush Attempts,0,49,205,2067,0
Points Scored,1,0,272,2021,1
Points Scored,1,1,267,2020,1
Points Scored,1,2,246,2022,1
Points Scored,1,3,243,2060,1
Points Scored,1,4,231,2058,1
Points Scored,1,5,228,2044,1
Points Scored,1,6,220,2035,1
Points Scored,1,7,219,2023,1
Points Scored,1,8,219,2066,1
Points Scored,1,9,218,2047,1
Points Scored,1,10,218,2059,1
Points Scored,1,11,218,2064,1
Points Scored,1,12,216,2034,1
Points Scored,1,13,216,2052,1
Points Scored,1,14,213,2025,1
Points Scored,1,15,213,2048,1
Points Scored,1,16,211,2062,1
Points Scored,1,17,210,2026,1
Points Scored,1,18,210,2029,1
Points Scored,1,19,208,2028,1
Points Scored,1,20,208,2032,1
Points Scored,1,21,206,2061,1
Points Scored,1,22,204,2050,1
Points Scored,1,23,203,2046,1
Points Scored,1,24,202,2057,1
Points Scored,1,25,197,2030,1
Points Scored,1,26,197,2033,1
Points Scored,1,27,197,2051,1
Points Scored,1,28,196,2055,1
Points Scored,1,29,190,2053,1
Points Scored,1,30,185,2068,1
Points Scored,1,31,183,2039,1
Points Scored,1,32,183,2054,1
Points Scored,1,33,182,2041,1
Points Scored,1,34,178,2027,1
Points Scored,1,35,178,2031,1
Points Scored,1,36,176,2038,1
Points Scored,1,37,175,2067,1
Points Scored,1,38,174,2045,1
Points Scored,1,39,173,2042,1
Points Scored,1,40,172,2036,1
Points Scored,1,41,172,2040,1
Points Scored,1,42,170,2024,1
Points Scored,1,43,169,2063,1
Points Scored,1,44,166,2043,1
Points Scored,1,45,166,2049,1
Points Scored,1,46,160,2037,1
Points Scored,1,47,160,2065,1
Points Scored,1,48,149,2056,1
Points Scored,1,49,144,2069,1
Points Allowed,1,0,144,2035,1
Points Allowed,1,1,170,2030,1
Points Allowed,1,2,170,2056,1
Points Allowed,1,3,171,2037,1
Points Allowed,1,4,172,2022,1
Points Allowed,1,5,174,2031,1
Points Allowed,1,6,174,2042,1
Points Allowed,1,7,175,2062,1
Points Allowed,1,8,178,2032,1
Points Allowed,1,9,178,2065,1
Points Allowed,1,10,179,2067,1
Points Allowed,1,11,181,2025,1
Points Allowed,1,12,181,2053,1
Points Allowed,1,13,181,2069,1
Points Allowed,1,14,188,2051,1
Points Allowed,1,15,190,2055,1
Points Allowed,1,16,191,2059,1
Points Allowed,1,17,193,2057,1
Points Allowed,1,18,194,2068,1
Points Allowed,1,19,195,2050,1
Points Allowed,1,20,195,2052,1
Points Allowed,1,21,196,2033,1
Points Allowed,1,22,197,2046,1
Points Allowed,1,23,197,2064,1
Points Allowed,1,24,199,2058,1
Points Allowed,1,25,199,2060,1
Points Allowed,1,26,200,2021,1
Points Allowed,1,27,200,2027,1
Points Allowed,1,28,200,2044,1
Points Allowed,1,29,201,2024,1
Points Allowed,1,30,211,2023,1
Points Allowed,1,31,211,2066,1
Points Allowed,1,32,212,2039,1
Points Allowed,1,33,213,2036,1
Points Allowed,1,34,216,2020,1
Points Allowed,1,35,217,2043,1
Points Allowed,1,36,219,2048,1
Points Allowed,1,37,223,2038,1
Points Allowed,1,38,225,2026,1
Points Allowed,1,39,226,2041,1
Points Allowed,1,40,226,2054,1
Points Allowed,1,41,229,2047,1
Points Allowed,1,42,232,2040,1
Points Allowed,1,43,234,2034,1
Points Allowed,1,44,243,2029,1
Points Allowed,1,45,243,2045,1
Points Allowed,1,46,248,2049,1
Points Allowed,1,47,250,2063,1
Points Allowed,1,48,251,2061,1
Points Allowed,1,49,253,2028,1
Passing Yards,1,0,3001,2023,1
Passing Yards,1,1,2756,2022,1
Passing Yards,1,2,2680,2048,1
Passing Yards,1,3,2663,2020,1
Passing Yards,1,4,2589,2060,1
Passing Yards,1,5,2543,2021,1
Passing Yards,1,6,2507,2050,1
Passing Yards,1,7,2496,2047,1
Passing Yards,1,8,2459,2055,1
Passing Yards,1,9,2436,2059,1
Passing Yards,1,10,2435,2051,1
Passing Yards,1,11,2418,2067,1
Passing Yards,1,12,2406,2058,1
Passing Yards,1,13,2381,2029,1
Passing Yards,1,14,2361,2054,1
Passing Yards,1,15,2321,2065,1
Passing Yards,1,16,2321,2066,1
Passing Yards,1,17,2296,2032,1
Passing Yards,1,18,2285,2061,1
Passing Yards,1,19,2259,2030,1
Passing Yards,1,20,2255,2031,1
Passing Yards,1,21,2252,2037,1
Passing Yards,1,22,2249,2044,1
Passing Yards,1,23,2203,2034,1
Passing Yards,1,24,2200,2043,1
Passing Yards,1,25,2192,2052,1
Passing Yards,1,26,2191,2053,1
Passing Yards,1,27,2188,2040,1
Passing Yards,1,28,2183,2024,1
Passing Yards,1,29,2166,2042,1
Passing Yards,1,30,2159,2064,1
Passing Yards,1,31,2155,2039,1
Passing Yards,1,32,2151,2026,1
Passing Yards,1,33,2149,2049,1
Passing Yards,1,34,2147,2063,1
Passing Yards,1,35,2141,2035,1
Passing Yards,1,36,2136,2028,1
Passing Yards,1,37,2128,2025,1
Passing Yards,1,38,2125,2062,1
Passing Yards,1,39,2120,2033,1
Passing Yards,1,40,2106,2046,1
Passing Yards,1,41,2081,2036,1
Passing Yards,1,42,2064,2045,1
Passing Yards,1,43,2049,2038,1
Passing Yards,1,44,2038,2041,1
Passing Yards,1,45,2010,2069,1
Passing Yards,1,46,1962,2027,1
Passing Yards,1,47,1932,2068,1
Passing Yards,1,48,1896,2057,1
Passing Yards,1,49,1635,2056,1
Passing Yards Allowed,1,0,1988,2055,1
Passing Yards Allowed,1,1,2006,2037,1
Passing Yards Allowed,1,2,2031,2025,1
Passing Yards Allowed,1,3,2034,2069,1
Passing Yards Allowed,1,4,2043,2050,1
Passing Yards Allowed,1,5,2051,2065,1
Passing Yards Allowed,1,6,2055,2039,1
Passing Yards Allowed,1,7,2063,2024,1
Passing Yards Allowed,1,8,2068,2051,1
Passing Yards Allowed,1,9,2090,2035,1
Passing Yards Allowed,1,10,2091,2041,1
Passing Yards Allowed,1,11,2120,2049,1
Passing Yards Allowed,1,12,2124,2036,1
Passing Yards Allowed,1,13,2160,2054,1
Passing Yards Allowed,1,14,2189,2056,1
Passing Yards Allowed,1,15,2202,2030,1
Passing Yards Allowed,1,16,2204,2053,1
Passing Yards Allowed,1,17,2207,2064,1
Passing Yards Allowed,1,18,2213,2047,1
Passing Yards Allowed,1,19,2238,2060,1
Passing Yards Allowed,1,20,2240,2063,1
Passing Yards Allowed,1,21,2242,2057,1
Passing Yards Allowed,1,22,2246,2027,1
Passing Yards Allowed,1,23,2250,2068,1
Passing Yards Allowed,1,24,2253,2040,1
Passing Yards Allowed,1,25,2279,2046,1
Passing Yards Allowed,1,26,2285,2045,1
Passing Yards Allowed,1,27,2292,2023,1
Passing Yards Allowed,1,28,2306,2048,1
Passing Yards Allowed,1,29,2313,2031,1
Passing Yards Allowed,1,30,2316,2044,1
Passing Yards Allowed,1,31,2337,2042,1
Passing Yards Allowed,1,32,2344,2066,1
Passing Yards Allowed,1,33,2365,2033,1
Passing Yards Allowed,1,34,2366,2061,1
Passing Yards Allowed,1,35,2387,2062,1
Passing Yards Allowed,1,36,2393,2067,1
Passing Yards Allowed,1,37,2396,2026,1
Passing Yards Allowed,1,38,2408,2038,1
Passing Yards Allowed,1,39,2426,2029,1
Passing Yards Allowed,1,40,2442,2043,1
Passing Yards Allowed,1,41,2443,2028,1
Passing Yards Allowed,1,42,2445,2059,1
Passing Yards Allowed,1,43,2480,2032,1
Passing Yards Allowed,1,44,2505,2020,1
Passing Yards Allowed,1,45,2509,2052,1
Passing Yards Allowed,1,46,2528,2058,1
Passing Yards Allowed,1,47,2541,2034,1
Passing Yards Allowed,1,48,2553,2022,1
Passing Yards Allowed,1,49,2556,2021,1
Rushing Yards,1,0,1530,2025,1
Rushing Yards,1,1,1395,2046,1
Rushing Yards,1,2,1373,2033,1
Rushing Yards,1,3,1373,2057,1
Rushing Yards,1,4,1344,2020,1
Rushing Yards,1,5,1335,2026,1
Rushing Yards,1,6,1335,2034,1
Rushing Yards,1,7,1328,2068,1
Rushing Yards,1,8,1326,2058,1
