Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Rushing Yards,0,26,52,2058,0,27
Rushing Yards,0,27,47,2045,0,21
Rushing Yards,0,28,41,2062,0,10
Rushing Yards,0,29,25,2040,0,15
Rushing Yards,0,30,9,2056,0,7
Rushing Yards Allowed,0,0,27,2040,0,11
Rushing Yards Allowed,0,1,42,2022,0,25
Rushing Yards Allowed,0,2,53,2044,0,15
Rushing Yards Allowed,0,3,62,2040,0,15
Rushing Yards Allowed,0,4,71,2043,0,15
Rushing Yards Allowed,0,5,71,2064,0,10
Rushing Yards Allowed,0,6,73,2046,0,24
Rushing Yards Allowed,0,7,75,2040,0,4
Rushing Yards Allowed,0,8,77,2059,0,7
Rushing Yards Allowed,0,9,85,2022,0,15
Rushing Yards Allowed,0,10,86,2035,0,10
Rushing Yards Allowed,0,11,95,2046,0,18
Rushing Yards Allowed,0,12,99,2058,0,27
Rushing Yards Allowed,0,13,100,2048,0,5
Rushing Yards Allowed,0,14,114,2043,0,21
Rushing Yards Allowed,0,15,115,2024,0,25
Rushing Yards Allowed,0,16,116,2044,0,7
Rushing Yards Allowed,0,17,116,2061,0,18
Rushing Yards Allowed,0,18,121,2039,0,4
Rushing Yards Allowed,0,19,124,2041,0,21
Rushing Yards Allowed,0,20,130,2064,0,17
Rushing Yards Allowed,0,21,133,2069,0,27
Rushing Yards Allowed,0,22,134,2048,0,10
Rushing Yards Allowed,0,23,137,2038,0,18
Rushing Yards Allowed,0,24,160,2056,0,7
Rushing Yards Allowed,0,25,167,2045,0,21
Rushing Yards Allowed,0,26,168,2040,0,29
Rushing Yards Allowed,0,27,169,2039,0,29
Rushing Yards Allowed,0,28,192,2062,0,10
Rushing Yards Allowed,0,29,231,2062,0,18
Rushing Yards Allowed,0,30,264,2036,0,10
Total Yards,0,0,447,2044,0,15
Total Yards,0,1,429,2062,0,18
Total Yards,0,2,423,2035,0,10
Total Yards,0,3,415,2046,0,24
Total Yards,0,4,415,2048,0,10
Total Yards,0,5,390,2038,0,18
Total Yards,0,6,390,2043,0,15
Total Yards,0,7,382,2022,0,15
Total Yards,0,8,376,2061,0,18
Total Yards,0,9,372,2040,0,11
Total Yards,0,10,357,2064,0,10
Total Yards,0,11,353,2039,0,29
Total Yards,0,12,348,2040,0,4
Total Yards,0,13,338,2046,0,18
Total Yards,0,14,337,2059,0,7
Total Yards,0,15,333,2062,0,10
Total Yards,0,16,328,2041,0,21
Total Yards,0,17,326,2048,0,5
Total Yards,0,18,325,2036,0,10
Total Yards,0,19,322,2043,0,21
Total Yards,0,20,317,2040,0,15
Total Yards,0,21,317,2040,0,29
Total Yards,0,22,315,2058,0,27
Total Yards,0,23,314,2069,0,27
Total Yards,0,24,304,2064,0,17
Total Yards,0,25,301,2039,0,4
Total Yards,0,26,285,2024,0,25
Total Yards,0,27,269,2044,0,7
Total Yards,0,28,249,2022,0,25
Total Yards,0,29,188,2045,0,21
Total Yards,0,30,169,2056,0,7
Total Yards Allowed,0,0,145,2040,0,11
Total Yards Allowed,0,1,228,2046,0,18
Total Yards Allowed,0,2,229,2022,0,25
Total Yards Allowed,0,3,247,2043,0,15
Total Yards Allowed,0,4,249,2059,0,7
Total Yards Allowed,0,5,250,2039,0,4
Total Yards Allowed,0,6,253,2069,0,27
Total Yards Allowed,0,7,258,2024,0,25
Total Yards Allowed,0,8,267,2064,0,17
Total Yards Allowed,0,9,268,2022,0,15
Total Yards Allowed,0,10,283,2044,0,15
Total Yards Allowed,0,11,284,2064,0,10
Total Yards Allowed,0,12,291,2048,0,10
Total Yards Allowed,0,13,314,2035,0,10
Total Yards Allowed,0,14,315,2040,0,29
Total Yards Allowed,0,15,333,2041,0,21
Total Yards Allowed,0,16,336,2039,0,29
Total Yards Allowed,0,17,344,2043,0,21
Total Yards Allowed,0,18,347,2038,0,18
Total Yards Allowed,0,19,357,2045,0,21
Total Yards Allowed,0,20,363,2058,0,27
Total Yards Allowed,0,21,365,2048,0,5
Total Yards Allowed,0,22,370,2062,0,18
Total Yards Allowed,0,23,377,2046,0,24
Total Yards Allowed,0,24,390,2040,0,4
Total Yards Allowed,0,25,405,2040,0,15
Total Yards Allowed,0,26,405,2044,0,7
Total Yards Allowed,0,27,429,2061,0,18
Total Yards Allowed,0,28,444,2056,0,7
Total Yards Allowed,0,29,475,2036,0,10
Total Yards Allowed,0,30,488,2062,0,10
Pass Attempts,0,0,56,2043,0,15
Pass Attempts,0,1,54,2062,0,18
Pass Attempts,0,2,51,2064,0,10
Pass Attempts,0,3,49,2039,0,4
Pass Attempts,0,4,49,2062,0,10
Pass Attempts,0,5,48,2059,0,7
Pass Attempts,0,6,47,2038,0,18
Pass Attempts,0,7,46,2058,0,27
Pass Attempts,0,8,45,2046,0,24
Pass Attempts,0,9,45,2048,0,10
Pass Attempts,0,10,44,2041,0,21
Pass Attempts,0,11,43,2022,0,15
Pass Attempts,0,12,43,2035,0,10
Pass Attempts,0,13,42,2046,0,18
Pass Attempts,0,14,42,2061,0,18
Pass Attempts,0,15,41,2036,0,10
Pass Attempts,0,16,41,2069,0,27
Pass Attempts,0,17,40,2044,0,15
Pass Attempts,0,18,39,2044,0,7
Pass Attempts,0,19,39,2045,0,21
Pass Attempts,0,20,38,2040,0,15
Pass Attempts,0,21,37,2040,0,11
Pass Attempts,0,22,35,2039,0,29
Pass Attempts,0,23,34,2056,0,7
Pass Attempts,0,24,33,2064,0,17
Pass Attempts,0,25,32,2048,0,5
Pass Attempts,0,26,30,2024,0,25
Pass Attempts,0,27,29,2040,0,29
Pass Attempts,0,28,27,2022,0,25
Pass Attempts,0,29,27,2043,0,21
Pass Attempts,0,30,24,2040,0,4
Rush Attempts,0,0,34,2040,0,11
Rush Attempts,0,1,34,2062,0,18
Rush Attempts,0,2,33,2022,0,25
Rush Attempts,0,3,32,2040,0,29
Rush Attempts,0,4,31,2043,0,21
Rush Attempts,0,5,31,2059,0,7
Rush Attempts,0,6,30,2064,0,17
Rush Attempts,0,7,29,2039,0,29
Rush Attempts,0,8,28,2044,0,15
Rush Attempts,0,9,27,2046,0,18
Rush Attempts,0,10,26,2024,0,25
Rush Attempts,0,11,26,2041,0,21
Rush Attempts,0,12,24,2022,0,15
Rush Attempts,0,13,24,2040,0,4
Rush Attempts,0,14,23,2039,0,4
Rush Attempts,0,15,23,2043,0,15
Rush Attempts,0,16,23,2048,0,5
Rush Attempts,0,17,23,2069,0,27
Rush Attempts,0,18,22,2040,0,15
Rush Attempts,0,19,22,2061,0,18
Rush Attempts,0,20,21,2044,0,7
Rush Attempts,0,21,21,2048,0,10
Rush Attempts,0,22,20,2035,0,10
Rush Attempts,0,23,20,2046,0,24
Rush Attempts,0,24,20,2058,0,27
Rush Attempts,0,25,19,2038,0,18
Rush Attempts,0,26,18,2045,0,21
Rush Attempts,0,27,17,2064,0,10
Rush Attempts,0,28,16,2036,0,10
Rush Attempts,0,29,14,2062,0,10
Rush Attempts,0,30,8,2056,0,7
Points Scored,1,0,44,2053,1,29
Points Scored,1,1,43,2060,1,17
Points Scored,1,2,38,2021,1,15
Points Scored,1,3,37,2053,1,9
Points Scored,1,4,36,2062,1,17
Points Scored,1,5,30,2035,1,4
Points Scored,1,6,29,2025,1,4
Points Scored,1,7,27,2020,1,7
Points Scored,1,8,27,2050,1,25
Points Scored,1,9,27,2052,1,9
Points Scored,1,10,23,2050,1,29
Points Scored,1,11,21,2025,1,10
Points Scored,1,12,21,2030,1,9
Points Scored,1,13,21,2032,1,18
Points Scored,1,14,21,2044,1,7
Points Scored,1,15,21,2066,1,25
Points Scored,1,16,20,2033,1,15
Points Scored,1,17,20,2035,1,18
Points Scored,1,18,17,2021,1,7
Points Scored,1,19,17,2025,1,26
Points Scored,1,20,17,2047,1,5
Points Scored,1,21,17,2058,1,21
Points Scored,1,22,16,2033,1,26
Points Scored,1,23,16,2060,1,29
Points Scored,1,24,15,2032,1,26
Points Scored,1,25,14,2050,1,7
Points Scored,1,26,13,2022,1,5
Points Scored,1,27,11,2053,1,27
Points Scored,1,28,9,2052,1,7
Points Scored,1,29,7,2062,1,21
Points Scored,1,30,7,2064,1,17
Points Scored,1,31,6,2059,1,15
Points Scored,1,32,3,2035,1,10
Points Allowed,1,0,0,2060,1,17
Points Allowed,1,1,3,2050,1,29
Points Allowed,1,2,7,2025,1,10
Points Allowed,1,3,7,2032,1,18
Points Allowed,1,4,13,2053,1,29
Points Allowed,1,5,14,2035,1,18
Points Allowed,1,6,14,2062,1,21
Points Allowed,1,7,17,2050,1,25
Points Allowed,1,8,17,2052,1,9
Points Allowed,1,9,19,2033,1,15
Points Allowed,1,10,20,2022,1,5
Points Allowed,1,11,20,2025,1,26
Points Allowed,1,12,21,2025,1,4
Points Allowed,1,13,23,2030,1,9
Points Allowed,1,14,23,2044,1,7
Points Allowed,1,15,23,2047,1,5
Points Allowed,1,16,24,2021,1,7
Points Allowed,1,17,24,2050,1,7
Points Allowed,1,18,24,2053,1,9
Points Allowed,1,19,26,2058,1,21
Points Allowed,1,20,27,2035,1,4
Points Allowed,1,21,27,2062,1,17
Points Allowed,1,22,27,2064,1,17
Points Allowed,1,23,31,2035,1,10
Points Allowed,1,24,32,2021,1,15
Points Allowed,1,25,33,2020,1,7
Points Allowed,1,26,33,2033,1,26
Points Allowed,1,27,33,2059,1,15
Points Allowed,1,28,33,2060,1,29
Points Allowed,1,29,34,2066,1,25
Points Allowed,1,30,35,2053,1,27
Points Allowed,1,31,37,2052,1,7
Points Allowed,1,32,41,2032,1,26
Passing Yards,1,0,344,2021,1,15
Passing Yards,1,1,343,2020,1,7
Passing Yards,1,2,338,2035,1,4
Passing Yards,1,3,328,2044,1,7
Passing Yards,1,4,325,2062,1,17
Passing Yards,1,5,316,2025,1,26
Passing Yards,1,6,311,2053,1,29
Passing Yards,1,7,304,2052,1,9
Passing Yards,1,8,298,2050,1,25
Passing Yards,1,9,284,2050,1,7
Passing Yards,1,10,282,2022,1,5
Passing Yards,1,11,281,2032,1,18
Passing Yards,1,12,276,2053,1,9
Passing Yards,1,13,270,2032,1,26
Passing Yards,1,14,267,2033,1,26
Passing Yards,1,15,256,2053,1,27
Passing Yards,1,16,254,2052,1,7
Passing Yards,1,17,250,2035,1,18
Passing Yards,1,18,249,2062,1,21
Passing Yards,1,19,248,2030,1,9
Passing Yards,1,20,226,2025,1,4
Passing Yards,1,21,212,2050,1,29
Passing Yards,1,22,212,2060,1,29
Passing Yards,1,23,210,2047,1,5
Passing Yards,1,24,205,2021,1,7
Passing Yards,1,25,202,2058,1,21
Passing Yards,1,26,200,2066,1,25
Passing Yards,1,27,198,2060,1,17
Passing Yards,1,28,173,2025,1,10
Passing Yards,1,29,136,2064,1,17
Passing Yards,1,30,126,2033,1,15
Passing Yards,1,31,107,2059,1,15
Passing Yards,1,32,52,2035,1,10
Passing Yards Allowed,1,0,119,2060,1,17
Passing Yards Allowed,1,1,150,2022,1,5
Passing Yards Allowed,1,2,152,2035,1,18
Passing Yards Allowed,1,3,187,2047,1,5
Passing Yards Allowed,1,4,187,2050,1,25
Passing Yards Allowed,1,5,190,2035,1,4
Passing Yards Allowed,1,6,193,2058,1,21
Passing Yards Allowed,1,7,199,2066,1,25
Passing Yards Allowed,1,8,201,2025,1,10
Passing Yards Allowed,1,9,203,2020,1,7
Passing Yards Allowed,1,10,204,2044,1,7
Passing Yards Allowed,1,11,211,2032,1,18
Passing Yards Allowed,1,12,214,2025,1,4
Passing Yards Allowed,1,13,222,2050,1,29
Passing Yards Allowed,1,14,223,2062,1,17
Passing Yards Allowed,1,15,225,2053,1,27
Passing Yards Allowed,1,16,230,2021,1,7
Passing Yards Allowed,1,17,234,2052,1,7
Passing Yards Allowed,1,18,235,2053,1,29
Passing Yards Allowed,1,19,239,2033,1,26
Passing Yards Allowed,1,20,251,2050,1,7
Passing Yards Allowed,1,21,251,2053,1,9
Passing Yards Allowed,1,22,252,2062,1,21
Passing Yards Allowed,1,23,262,2032,1,26
Passing Yards Allowed,1,24,269,2030,1,9
Passing Yards Allowed,1,25,269,2033,1,15
Passing Yards Allowed,1,26,293,2025,1,26
Passing Yards Allowed,1,27,306,2060,1,29
Passing Yards Allowed,1,28,306,2064,1,17
Passing Yards Allowed,1,29,324,2035,1,10
Passing Yards Allowed,1,30,324,2059,1,15
Passing Yards Allowed,1,31,331,2052,1,9
Passing Yards Allowed,1,32,335,2021,1,15
Rushing Yards,1,0,235,2033,1,15
Rushing Yards,1,1,191,2035,1,4
Rushing Yards,1,2,167,2053,1,9
Rushing Yards,1,3,145,2025,1,10
Rushing Yards,1,4,134,2032,1,18
Rushing Yards,1,5,133,2025,1,4
Rushing Yards,1,6,132,2053,1,29
Rushing Yards,1,7,129,2062,1,17
Rushing Yards,1,8,126,2021,1,7
Rushing Yards,1,9,114,2022,1,5
Rushing Yards,1,10,108,2033,1,26
Rushing Yards,1,11,107,2050,1,29
Rushing Yards,1,12,107,2060,1,29
Rushing Yards,1,13,104,2060,1,17
Rushing Yards,1,14,103,2050,1,25
Rushing Yards,1,15,99,2058,1,21
Rushing Yards,1,16,96,2035,1,18
Rushing Yards,1,17,96,2035,1,10
Rushing Yards,1,18,95,2066,1,25
Rushing Yards,1,19,93,2021,1,15
Rushing Yards,1,20,90,2030,1,9
Rushing Yards,1,21,87,2020,1,7
Rushing Yards,1,22,87,2025,1,26
Rushing Yards,1,23,86,2064,1,17
Rushing Yards,1,24,83,2052,1,9
Rushing Yards,1,25,82,2047,1,5
Rushing Yards,1,26,81,2032,1,26
Rushing Yards,1,27,76,2050,1,7
Rushing Yards,1,28,71,2062,1,21
Rushing Yards,1,29,68,2053,1,27
Rushing Yards,1,30,62,2044,1,7
Rushing Yards,1,31,55,2052,1,7
Rushing Yards,1,32,24,2059,1,15
Rushing Yards Allowed,1,0,45,2025,1,4
Rushing Yards Allowed,1,1,47,2053,1,29
Rushing Yards Allowed,1,2,49,2050,1,29
Rushing Yards Allowed,1,3,52,2052,1,9
Rushing Yards Allowed,1,4,75,2025,1,26
Rushing Yards Allowed,1,5,75,2035,1,18
Rushing Yards Allowed,1,6,76,2062,1,21
Rushing Yards Allowed,1,7,77,2033,1,15
Rushing Yards Allowed,1,8,81,2030,1,9
Rushing Yards Allowed,1,9,88,2021,1,15
Rushing Yards Allowed,1,10,89,2044,1,7
Rushing Yards Allowed,1,11,89,2050,1,7
Rushing Yards Allowed,1,12,89,2062,1,17
Rushing Yards Allowed,1,13,98,2053,1,9
Rushing Yards Allowed,1,14,104,2032,1,18
Rushing Yards Allowed,1,15,104,2060,1,17
Rushing Yards Allowed,1,16,112,2025,1,10
Rushing Yards Allowed,1,17,112,2058,1,21
Rushing Yards Allowed,1,18,116,2035,1,10
Rushing Yards Allowed,1,19,117,2020,1,7
Rushing Yards Allowed,1,20,144,2022,1,5
Rushing Yards Allowed,1,21,147,2060,1,29
Rushing Yards Allowed,1,22,151,2021,1,7
Rushing Yards Allowed,1,23,160,2050,1,25
Rushing Yards Allowed,1,24,162,2059,1,15
Rushing Yards Allowed,1,25,172,2052,1,7
Rushing Yards Allowed,1,26,179,2064,1,17
Rushing Yards Allowed,1,27,189,2035,1,4
Rushing Yards Allowed,1,28,201,2066,1,25
Rushing Yards Allowed,1,29,208,2032,1,26
Rushing Yards Allowed,1,30,215,2047,1,5
Rushing Yards Allowed,1,31,217,2053,1,27
Rushing Yards Allowed,1,32,227,2033,1,26
Total Yards,1,0,529,2035,1,4
Total Yards,1,1,439,2062,1,17
Total Yards,1,2,433,2053,1,29
Total Yards,1,3,432,2021,1,15
Total Yards,1,4,428,2053,1,9
Total Yards,1,5,408,2032,1,18
Total Yards,1,6,403,2025,1,26
Total Yards,1,7,392,2050,1,25
Total Yards,1,8,387,2022,1,5
Total Yards,1,9,384,2052,1,9
Total Yards,1,10,379,2044,1,7
Total Yards,1,11,376,2020,1,7
Total Yards,1,12,361,2033,1,15
Total Yards,1,13,350,2025,1,4
Total Yards,1,14,346,2035,1,18
Total Yards,1,15,341,2033,1,26
Total Yards,1,16,335,2050,1,7
Total Yards,1,17,328,2021,1,7
Total Yards,1,18,326,2032,1,26
Total Yards,1,19,313,2025,1,10
Total Yards,1,20,313,2060,1,29
Total Yards,1,21,312,2030,1,9
Total Yards,1,22,310,2050,1,29
Total Yards,1,23,306,2062,1,21
Total Yards,1,24,299,2053,1,27
Total Yards,1,25,298,2060,1,17
Total Yards,1,26,291,2058,1,21
Total Yards,1,27,287,2047,1,5
Total Yards,1,28,283,2052,1,7
Total Yards,1,29,275,2066,1,25
Total Yards,1,30,204,2064,1,17
Total Yards,1,31,139,2035,1,10
Total Yards,1,32,131,2059,1,15
Total Yards Allowed,1,0,186,2060,1,17
Total Yards Allowed,1,1,203,2035,1,18
Total Yards Allowed,1,2,245,2025,1,4
Total Yards Allowed,1,3,245,2050,1,29
Total Yards Allowed,1,4,270,2053,1,29
Total Yards Allowed,1,5,278,2062,1,17
Total Yards Allowed,1,6,287,2044,1,7
Total Yards Allowed,1,7,289,2022,1,5
Total Yards Allowed,1,8,294,2032,1,18
Total Yards Allowed,1,9,301,2058,1,21
Total Yards Allowed,1,10,310,2020,1,7
Total Yards Allowed,1,11,313,2025,1,10
Total Yards Allowed,1,12,328,2062,1,21
Total Yards Allowed,1,13,329,2033,1,15
Total Yards Allowed,1,14,330,2053,1,9
Total Yards Allowed,1,15,331,2030,1,9
Total Yards Allowed,1,16,335,2050,1,7
Total Yards Allowed,1,17,342,2052,1,9
Total Yards Allowed,1,18,347,2050,1,25
Total Yards Allowed,1,19,354,2025,1,26
Total Yards Allowed,1,20,365,2035,1,4
Total Yards Allowed,1,21,372,2052,1,7
Total Yards Allowed,1,22,380,2021,1,7
Total Yards Allowed,1,23,388,2047,1,5
Total Yards Allowed,1,24,395,2066,1,25
Total Yards Allowed,1,25,415,2021,1,15
Total Yards Allowed,1,26,422,2035,1,10
Total Yards Allowed,1,27,442,2053,1,27
Total Yards Allowed,1,28,453,2059,1,15
Total Yards Allowed,1,29,453,2060,1,29
Total Yards Allowed,1,30,461,2033,1,26
Total Yards Allowed,1,31,470,2032,1,26
Total Yards Allowed,1,32,473,2064,1,17
Pass Attempts,1,0,49,2044,1,7
Pass Attempts,1,1,49,2050,1,7
Pass Attempts,1,2,45,2025,1,26
Pass Attempts,1,3,45,2035,1,4
Pass Attempts,1,4,44,2032,1,26
Pass Attempts,1,5,44,2033,1,26
Pass Attempts,1,6,44,2035,1,18
Pass Attempts,1,7,44,2062,1,21
Pass Attempts,1,8,42,2020,1,7
Pass Attempts,1,9,41,2052,1,7
Pass Attempts,1,10,40,2022,1,5
Pass Attempts,1,11,40,2064,1,17
Pass Attempts,1,12,39,2052,1,9
Pass Attempts,1,13,39,2053,1,27
Pass Attempts,1,14,38,2050,1,25
Pass Attempts,1,15,36,2032,1,18
Pass Attempts,1,16,36,2058,1,21
Pass Attempts,1,17,36,2066,1,25
Pass Attempts,1,18,35,2060,1,17
Pass Attempts,1,19,35,2062,1,17
Pass Attempts,1,20,34,2021,1,15
Pass Attempts,1,21,34,2025,1,4
Pass Attempts,1,22,34,2047,1,5
Pass Attempts,1,23,34,2060,1,29
Pass Attempts,1,24,33,2021,1,7
Pass Attempts,1,25,32,2035,1,10
Pass Attempts,1,26,32,2053,1,9
Pass Attempts,1,27,32,2059,1,15
Pass Attempts,1,28,31,2033,1,15
Pass Attempts,1,29,30,2053,1,29
Pass Attempts,1,30,29,2025,1,10
Pass Attempts,1,31,28,2030,1,9
Pass Attempts,1,32,27,2050,1,29
Rush Attempts,1,0,41,2025,1,4
Rush Attempts,1,1,40,2032,1,18
Rush Attempts,1,2,37,2035,1,4
Rush Attempts,1,3,35,2050,1,29
Rush Attempts,1,4,33,2021,1,15
Rush Attempts,1,5,33,2035,1,18
Rush Attempts,1,6,33,2062,1,17
Rush Attempts,1,7,30,2033,1,15
Rush Attempts,1,8,29,2025,1,10
Rush Attempts,1,9,29,2060,1,17
Rush Attempts,1,10,28,2053,1,29
Rush Attempts,1,11,27,2021,1,7
Rush Attempts,1,12,27,2053,1,9
Rush Attempts,1,13,25,2022,1,5
Rush Attempts,1,14,25,2035,1,10
Rush Attempts,1,15,25,2062,1,21
Rush Attempts,1,16,24,2030,1,9
Rush Attempts,1,17,24,2050,1,25
Rush Attempts,1,18,24,2060,1,29
Rush Attempts,1,19,23,2020,1,7
Rush Attempts,1,20,23,2047,1,5
Rush Attempts,1,21,23,2052,1,9
Rush Attempts,1,22,21,2033,1,26
Rush Attempts,1,23,21,2058,1,21
Rush Attempts,1,24,21,2066,1,25
Rush Attempts,1,25,20,2025,1,26
Rush Attempts,1,26,19,2044,1,7
Rush Attempts,1,27,18,2050,1,7
Rush Attempts,1,28,17,2032,1,26
Rush Attempts,1,29,15,2053,1,27
Rush Attempts,1,30,14,2064,1,17
Rush Attempts,1,31,13,2059,1,15
Rush Attempts,1,32,12,2052,1,7
Points Scored,2,0,43,2032,2,28
Points Scored,2,1,41,2069,2,19
Points Scored,2,2,38,2027,2,11
Points Scored,2,3,38,2043,2,23
Points Scored,2,4,38,2055,2,30
Points Scored,2,5,38,2058,2,20
Points Scored,2,6,35,2025,2,16
Points Scored,2,7,33,2044,2,7
Points Scored,2,8,31,2044,2,28
Points Scored,2,9,30,2055,2,7
Points Scored,2,10,28,2023,2,12
Points Scored,2,11,27,2023,2,16
Points Scored,2,12,27,2036,2,11
Points Scored,2,13,27,2044,2,16
Points Scored,2,14,26,2023,2,21
Points Scored,2,15,26,2027,2,13
