Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2068,21,Wild Card,69300,987,186760,207330,67700,253720,223610,9220,3660,54870,36590,23910,0,37,2292470,-8290,59800,70200,38324,40082,40238,39000,937,3298,692,736,76
2068,22,None,61200,928,186760,213430,141030,230120,243010,27930,7750,63640,37380,21960,0,40,2549270,108070,50200,65900,30799,41822,40198,38933,751,2829,1055,1022,101
2068,23,Division,73400,987,186760,228370,89240,176720,353000,39790,22820,75230,50600,21340,0,58,3081540,40550,60400,74300,37520,40105,39377,39976,1006,2617,1265,787,84
2068,24,None,78400,1000,186760,240140,102500,218180,205590,45090,16960,109880,50060,19230,0,57,3202930,208270,75400,78400,35009,42594,41142,40699,950,3609,695,889,114
2068,25,Division,83100,962,186760,245380,125420,136950,299260,44340,17200,65290,53950,22250,0,61,2726690,171980,66900,86300,39189,40956,41072,40675,919,2172,1375,1068,96
2068,26,None,48200,730,186760,92070,24070,205760,187860,1670,1560,25620,46250,15610,0,21,1942300,-123730,39300,66000,40050,41806,41806,36413,1076,3154,1054,621,107
2068,27,Conference,22500,284,186760,72230,49870,237010,181350,2220,3120,18060,29550,12770,0,27,1648150,-128420,20300,79200,32462,39268,40226,38154,941,3201,766,1028,109
2068,28,None,78300,1000,186760,277480,204000,193580,208020,66800,27840,104500,40610,22270,0,78,3286970,402900,74700,78300,30812,39230,39423,41522,686,3422,824,1110,119
2068,29,Wild Card,73600,931,186760,201710,138170,255390,220060,36790,21440,76700,82440,15570,0,52,2623970,88110,58100,79000,40891,41821,40227,38928,1053,1752,839,1089,109
2068,30,None,23000,301,186760,81760,38850,221500,225940,3340,2670,20520,38380,14820,0,8,2045020,-166740,21800,76400,38322,36744,41956,40654,994,3735,674,599,121
2068,31,None,61000,907,186760,198840,103200,218440,301130,19520,8490,63050,38920,21550,0,24,2371850,-180,51300,67200,42574,40056,40282,38294,916,3346,1287,1262,109
2067,0,None,57500,766,183680,202520,89610,148390,300020,37280,9320,56630,33410,21650,106280,22,2663360,-24170,50200,75000,32452,38384,41089,42306,700,3956,561,1074,121
2067,1,None,61400,993,183680,260540,228270,205620,180920,22560,13400,95430,50990,19550,0,59,2608250,346800,55800,61800,31635,39248,40251,34775,881,3869,1265,990,98
2067,2,Division,71800,962,183680,309090,136820,240910,154860,57220,25010,90780,141280,17620,0,70,2938880,247930,57700,74600,34195,37580,38522,42482,1032,2386,743,783,113
2067,3,None,78600,988,183680,287000,143610,150860,398220,28650,16480,74090,47430,24830,0,50,2736830,112170,68400,79500,34178,36718,35229,42331,835,3288,915,883,92
2067,4,Wild Card,77300,989,183680,373650,212450,150820,245490,30800,17720,90090,54530,17970,0,79,2599070,439580,67300,78100,40887,40976,34359,34771,938,2996,610,959,106
2067,5,None,35600,455,183680,112590,52680,214800,313360,11190,5550,37460,31050,12280,0,7,2093950,-168340,33500,78200,35046,39281,40237,39842,913,3333,506,859,80
2067,6,Champion,66800,995,183680,362670,136910,157100,343530,35430,20310,92690,81250,22250,0,70,3398080,227560,60100,67100,32461,40112,33542,38950,956,3759,971,976,95
2067,7,None,60600,975,183680,245520,68050,284740,95040,20760,12540,72410,40250,24160,0,49,2644990,158770,53400,62100,38356,40971,34386,37290,944,3054,878,760,113
2067,8,None,22100,288,183680,69520,41510,150390,314540,6690,3440,16480,27710,18590,0,16,2029660,-189910,20200,76600,39219,40062,37672,34145,764,3808,824,1207,89
2067,9,Division,77700,952,183680,246140,90240,205480,274670,37590,14820,60270,43150,25900,0,46,2764380,83540,64200,81600,30812,39274,39399,35698,542,1715,1358,551,93
2067,10,Conference,76600,1000,183680,344490,155400,295300,109510,33510,19270,88000,141780,19870,0,81,3333790,257890,68600,76600,35862,37530,36881,41533,792,4139,1213,1553,82
2067,11,None,57700,973,183680,259840,67520,203070,251710,19370,8420,74090,60140,21780,0,36,2690910,76220,50400,59300,38322,40102,34405,38299,1087,3013,581,898,99
2067,12,Wild Card,78000,998,183680,338300,162750,223420,187310,74800,30690,123370,75230,18900,0,83,3352160,408730,76600,78100,30799,40957,34382,37295,806,2300,682,839,113
2067,13,Conference,84200,991,183680,287880,168950,169330,287380,53400,23170,67550,53790,27390,0,73,3159290,246740,73000,84900,33318,40082,40182,36435,825,3310,852,527,112
2067,14,None,58300,938,183680,163430,100980,154180,286090,18070,6660,59540,74490,22050,0,27,2282220,-4450,48300,62100,36686,38410,35153,40701,668,1993,715,702,109
2067,15,Won Conference,57400,996,183680,261710,207900,175220,305470,29830,13810,102960,74060,20210,0,65,3085820,224930,54500,57600,39190,40104,38518,37330,1054,3572,1059,1400,73
2067,16,None,62000,852,183680,186320,64470,190620,396970,18540,11200,56640,56040,19550,0,22,2516410,-142330,52100,72700,35855,39247,36872,42403,788,2077,789,653,103
2067,17,None,51500,998,183680,218990,126850,239330,172880,17830,9640,77780,55130,24440,0,43,2507230,142990,47700,51600,30815,36692,36073,39783,761,2638,968,964,111
2067,18,Wild Card,77700,994,183680,294830,146740,200190,128220,42520,18750,89520,49550,17650,0,76,2828670,380430,66000,78100,34186,41824,36072,41706,865,1949,650,1067,108
2067,19,Division,57600,1000,183680,299020,142780,151810,217480,34200,15570,110430,82450,19770,0,77,3122560,314170,56400,57600,33339,41797,36049,34927,656,3782,832,704,85
2067,20,None,50200,990,183680,162190,77210,212970,206690,6620,7490,60600,37870,23990,50710,22,2296000,-34440,46000,50700,36660,40933,36837,38940,1076,3132,794,1285,111
2067,21,None,68000,968,183680,198000,71160,242920,146040,9280,3630,57600,88580,23940,0,22,2213340,21870,62400,70200,38324,39251,40238,40644,937,2577,830,798,92
2067,22,None,63000,955,183680,219400,147920,211530,157850,28740,9580,66470,36750,21810,0,45,2617440,227850,52700,65900,32466,41822,40198,38948,751,4369,723,990,111
2067,23,None,73000,982,183680,211430,86020,202710,207370,36450,20900,78460,44960,21450,0,57,3095000,140450,62500,74300,37520,40105,37749,38083,1006,4132,1017,839,84
2067,24,Division,78300,998,183680,250100,105820,216060,206860,46890,17910,102760,47630,18290,0,71,3260320,218320,72500,78400,35009,36735,38570,39770,950,3654,1391,848,99
2067,25,None,82400,954,183680,221230,118180,155460,270550,39460,15310,66470,38910,21810,0,41,2580700,157600,67400,86300,32439,40956,41072,37234,897,2958,951,792,83
2067,26,None,47000,712,183680,89170,23450,198480,176050,1610,1500,25420,37050,15280,0,22,1763320,-102030,39000,66000,40050,41806,40208,36413,799,3375,1534,816,100
2067,27,None,21100,266,183680,68170,36840,205780,238320,1710,2410,18460,34120,12500,0,15,1712810,-179450,20000,79200,32462,34240,40226,38154,941,2931,821,661,101
2067,28,None,78300,1000,183680,278400,213500,246560,220730,67860,27840,108450,37560,22110,0,59,3379710,352770,76900,78300,32457,41802,39423,41522,686,3306,1106,781,106
2067,29,None,71600,906,183680,184130,128670,236080,128910,33510,19220,81130,32010,15630,0,42,2479680,217710,60600,79000,40891,41821,40227,39968,1063,2660,671,991,105
2067,30,Wild Card,24000,314,183680,86280,41960,161580,216400,3450,2750,20410,26590,14540,0,28,1790880,-80580,21700,76400,38351,40939,41956,40654,994,4044,1285,1106,97
2067,31,None,61200,910,183680,201130,103430,239160,173360,19300,8390,62510,37260,21080,0,37,2286810,107580,51300,67200,28285,37561,40282,39818,916,3990,1151,1354,115
2066,0,None,60700,809,180480,206020,91940,138990,243980,37520,9540,54550,36600,20850,106280,31,2716220,39890,49800,75000,32452,34228,39400,35674,771,3440,857,860,89
2066,1,Wild Card,61500,995,180480,253700,220710,162970,250880,21860,12980,93860,164730,18750,0,54,2698170,186260,55200,61800,31635,39248,35252,34775,881,3002,852,806,89
2066,2,None,71400,957,180480,291080,126600,167400,293930,52820,22720,95030,83340,17570,0,49,3077180,206490,60800,74600,34195,39270,36018,33058,788,2483,853,576,109
2066,3,Won Conference,77500,974,180480,318840,146170,153470,236770,28990,16940,67530,50760,23350,0,76,2752320,294600,64500,79500,30799,36718,36861,35776,502,3773,1245,904,89
2066,4,None,77700,994,180480,328320,183870,133360,323990,27030,15550,87870,49560,17080,0,64,2644030,299130,65100,78100,35853,40976,34359,34771,938,1862,649,1647,123
2066,5,None,38500,492,180480,111640,54840,198020,160480,12090,5890,38410,35530,11950,0,22,2107100,-2630,35200,78200,35046,39228,36897,35769,913,2545,748,939,99
2066,6,Wild Card,66500,991,180480,334530,143060,192490,214390,36600,21330,87510,59010,21180,0,78,3158400,316440,58300,67100,32461,39230,33542,36609,956,3969,783,1181,85
2066,7,Division,60400,972,180480,249180,69000,219960,119550,21560,13020,65880,35160,22690,0,65,2671100,201760,50200,62100,38356,40971,36075,39766,944,2809,928,935,112
2066,8,None,22300,291,180480,67470,38570,139160,339010,6630,3410,16810,27220,18150,0,6,2003320,-210170,20800,76600,39219,40062,39336,34145,764,3091,890,880,96
2066,9,None,74200,909,180480,218260,82820,182220,153880,34500,13600,57680,40990,24750,0,54,2743290,185500,62700,81600,30812,35872,33499,39825,542,2657,834,1038,94
2066,10,Champion,76600,1000,180480,401940,177920,275350,158440,36400,20290,100170,68740,20730,0,97,3510330,393940,75500,76600,35862,37530,36881,38161,792,3355,1646,1194,80
2066,11,None,58300,983,180480,268780,71120,166240,200060,19710,8570,76730,59090,21760,0,41,2689150,178240,51600,59300,38322,35068,34361,38299,1087,3312,798,967,116
2066,12,None,78000,998,180480,300170,142210,208540,179990,66300,27200,119720,66160,18270,0,70,3356920,363120,76300,78100,36636,40957,38480,36402,806,1834,927,781,100
2066,13,Wild Card,83400,982,180480,232880,131570,186000,343020,42160,18300,64420,53370,26070,0,51,3023040,61350,72300,84900,33318,38382,38520,38992,825,3317,1037,745,100
2066,14,None,60600,975,180480,179690,111270,137440,302990,19400,7020,63820,55540,22210,0,28,2436480,43500,51000,62100,29127,39254,36082,40701,700,3106,621,759,120
2066,15,None,57300,994,180480,216660,198030,197000,204040,29080,13460,100070,61430,19570,0,63,3203520,255740,53900,57600,39190,40104,38518,37330,1054,3208,860,993,118
2066,16,None,64600,888,180480,190960,67640,214630,222800,19330,11670,58470,43320,19390,0,36,2562810,28410,54100,72700,35855,39247,36872,38156,657,2985,679,1053,92
2066,17,None,51600,1000,180480,215410,121600,221000,180950,17260,9330,75700,54160,23470,0,46,2707200,140200,46700,51600,36686,36692,36073,39826,761,3476,782,1000,110
2066,18,Division,76400,978,180480,267510,130770,154540,320890,36480,16340,83770,52650,17040,0,59,2860600,170230,64500,78100,34186,40076,36072,33914,865,4118,862,1159,106
2066,19,Division,57600,1000,180480,308880,146950,112640,298710,45900,15680,122930,86640,17460,0,71,3131320,305370,56300,57600,33339,40061,39342,33277,656,2067,757,816,99
2066,20,None,50600,998,180480,153790,77440,187610,209700,6570,7430,60630,34930,23420,50710,36,2337210,-20030,46800,50700,36660,36701,36837,39992,1076,3753,855,1147,95
2066,21,None,69300,987,180480,200530,70380,191800,130680,9220,3600,56510,40160,23170,0,36,2156730,134910,62400,70200,38324,39251,40238,39000,688,3085,601,1055,101
2066,22,None,64100,972,180480,216400,149350,179230,283660,28870,11760,66810,82790,21370,0,48,2680120,86620,53200,65900,32466,35904,39429,40666,751,4002,869,952,96
2066,23,Conference,73000,982,180480,231940,97710,193740,137430,42100,24150,75980,44170,20490,0,75,2977920,256530,62900,74300,37520,39279,38530,37287,1006,4295,920,746,85
2066,24,None,78400,1000,180480,228330,99200,185380,319580,42390,16190,104890,72280,18010,0,50,3311800,76230,74700,78400,35009,36735,38516,40699,950,3151,1112,871,121
2066,25,Conference,83200,964,180480,239440,123290,142660,246670,42420,16450,63110,38210,20940,0,65,2644030,216710,67000,86300,32439,40956,31825,38250,897,2225,904,754,91
2066,26,None,48100,728,180480,82220,24490,146990,277080,1670,1540,26370,35260,15170,0,6,1759680,-157730,40800,66000,40050,35875,40208,37427,799,2378,877,733,103
2066,27,Wild Card,20100,253,180480,69400,42740,229800,174500,1720,2460,16550,38390,12080,0,28,1768700,-141420,18400,79200,32462,34240,40226,34990,941,3850,1143,1252,88
2066,28,None,64400,1000,180480,207000,88100,249120,194100,23260,17400,80380,35570,23750,7720,37,2851580,86360,61600,64400,32457,36744,38580,41522,686,3230,950,788,105
2066,29,None,71100,900,180480,177240,128930,197120,227810,32410,18590,78400,25400,15060,0,46,2589880,150660,60100,79000,36685,37577,37720,38928,1063,3758,972,695,82
2066,30,None,22900,299,180480,74690,38530,145430,281630,3230,2580,19530,26120,14110,0,13,1746140,-148250,21400,76400,38351,40939,35174,40654,994,3796,661,588,131
2066,31,Division,63200,940,180480,221720,117040,230860,220380,21420,9310,60740,33590,20460,0,51,2382330,105420,50400,67200,33309,37561,35992,39818,916,2549,894,780,107
2065,0,None,62700,836,177280,210240,94350,167210,241840,38000,9660,53900,35350,20320,106280,35,2623740,18970,49500,75000,32452,34228,38520,33913,771,3558,1103,976,119
2065,1,None,60900,985,177280,241630,214840,168800,215840,20740,12520,90890,73200,18080,0,54,2561690,281980,54400,61800,31635,39248,36876,33237,913,3714,862,802,102
2065,2,Wild Card,73100,979,177280,310580,141560,241160,109460,57880,24900,91830,79590,16930,0,78,2854200,356890,60000,74600,35836,39270,38522,36607,788,1890,1165,1254,87
2065,3,Division,76100,957,177280,248530,126340,155680,372580,24970,14590,64080,76860,22370,0,44,2561690,28300,63100,79500,30799,36718,35229,32202,502,3781,1424,891,91
2065,4,None,78000,998,177280,379150,225690,146890,318330,30540,17020,104660,40080,18440,0,74,2774430,410600,76100,78100,27449,39275,34359,34771,938,3973,842,1129,119
2065,5,None,42300,540,177280,120050,60290,185480,220210,13380,6520,41120,27080,11940,0,22,1967800,-26070,37600,78200,35046,38416,30962,35769,443,3371,620,602,91
2065,6,None,65500,976,177280,300820,125570,147580,196140,32380,18880,86940,57370,20750,0,67,3022620,320030,58400,67100,32461,36712,33542,37402,956,3684,948,1054,89
2065,7,None,60900,980,177280,230980,65880,217000,241880,19750,11930,67830,53480,22530,0,46,2481920,38760,51600,62100,38356,37581,34386,38950,944,3029,707,693,113
2065,8,None,24200,315,177280,65320,41550,197020,251970,7050,3630,17640,52840,17710,0,17,1879160,-207070,21800,76600,39219,40062,37672,38094,764,3558,742,1239,107
2065,9,Wild Card,76900,942,177280,226470,86430,146910,209870,35790,14110,58100,37320,24600,0,58,2473050,179480,62600,81600,38312,39274,33499,34775,542,4004,510,1097,91
2065,10,Champion,76500,998,177280,381830,166900,272210,215920,34040,19270,91800,158680,19510,0,80,3297400,204800,72300,76600,35862,37530,36881,34992,792,3974,1252,988,98
2065,11,None,59200,998,177280,297310,82430,121660,291080,28800,9600,87880,139180,20750,0,46,2880800,110630,53200,59300,38322,40102,34361,38161,1087,2408,770,832,101
2065,12,None,78000,998,177280,295230,140400,196080,173510,64920,26630,117910,64390,17740,0,72,3253080,370650,76300,78100,36636,37550,34382,37295,806,2198,1072,981,126
2065,13,Won Conference,83800,987,177280,282190,150750,195610,251380,47820,21080,59890,51830,24760,0,70,2685790,215430,69300,84900,33318,38382,35225,36435,825,3573,1253,756,113
2065,14,None,60900,980,177280,173550,108990,136870,322060,19200,6960,64040,53970,21730,0,33,2295770,15390,50800,62100,29127,35924,34381,35620,700,3409,706,845,93
2065,15,Wild Card,57300,994,177280,216130,195620,192760,281870,28200,13050,96600,57380,18820,0,61,2880800,176050,53500,57600,39190,35904,38518,37330,1054,2763,800,1332,117
2065,16,None,61000,839,177280,176970,63370,209780,186230,17680,10680,56270,53500,18650,0,32,2233720,34090,52700,72700,35855,37564,36872,38156,657,2924,1242,1058,109
2065,17,Division,51400,996,177280,235280,137190,204980,220820,18800,10160,74830,69970,23140,0,57,2588280,134630,46500,51600,30815,35094,34405,39826,761,3624,819,1175,79
2065,18,Conference,76400,978,177280,276240,141160,161120,327480,39370,17640,82570,51710,16560,0,66,2712380,177390,64500,78100,34186,35878,36072,33914,865,4100,809,1378,103
2065,19,Division,57600,1000,177280,323540,158510,106680,348600,49460,16890,121040,74110,16940,0,78,3137850,300390,56300,57600,33339,40061,36879,33277,656,3820,1167,777,97
2065,20,None,50700,1000,177280,161710,81000,191390,141510,6570,7430,61660,33000,23250,0,30,2109630,106500,47400,50700,36660,36701,34327,39992,1076,3112,814,841,89
2065,21,None,69200,985,177280,213060,79260,145780,251990,15810,4000,61770,59750,23320,0,42,2127360,70340,60400,70200,34178,35873,36057,35674,688,3381,640,982,92
2065,22,None,65000,986,177280,228910,161210,214490,214930,30120,12070,70580,64640,21500,0,43,2561690,164610,56100,65900,32466,36735,39429,38948,686,3249,1072,1570,133
2065,23,Conference,71900,967,177280,202150,77610,134480,322350,32460,18920,70420,41480,19410,0,47,2606010,61120,59300,74300,37520,40105,37749,38083,1006,2990,843,899,94
2065,24,Division,78200,997,177280,236540,96250,193740,196620,42540,16500,94840,46490,16570,0,65,2783290,210530,68900,78400,35009,35917,38516,38296,751,3792,462,1176,91
2065,25,None,82200,952,177280,213380,117470,129590,393670,38080,14770,64290,65980,20790,0,29,2481920,15240,67400,86300,32439,34230,31825,37325,897,2343,430,871,92
2065,26,None,51600,781,177280,90000,27680,148270,294550,1890,3270,29260,62370,15900,0,5,1635400,-191710,44400,66000,32462,35875,36811,37310,799,2635,837,527,99
2065,27,None,20100,253,177280,64850,35600,192370,263520,1520,2170,17740,26940,11670,0,6,1529040,-195340,19100,79200,37464,34240,40226,38154,990,2033,866,787,107
2065,28,None,64200,996,177280,198230,85860,192140,198010,22060,16780,76550,34940,22790,7720,49,2597150,121160,59800,64400,35837,35066,38580,39788,847,2015,847,952,85
2065,29,None,71600,827,177280,112610,38440,180630,182480,13030,7660,34450,29480,22250,102540,22,2038720,-133910,54100,86500,28331,40077,36005,39968,1063,3281,720,811,107
2065,30,None,22800,298,177280,78230,35160,124610,308100,3140,2510,20310,77350,13680,0,5,1608810,-207110,22200,76400,28285,38376,35252,36528,994,2990,772,776,95
2065,31,Wild Card,63100,938,177280,209890,115220,227880,125230,21070,9160,60190,41160,20000,0,59,2198270,178540,50700,67200,33309,36744,36036,38925,916,3259,1211,968,111
