Year,Award,Player/Coach,Team
2068,All-League First Team Offensive Guard,39489,23
2068,All-League First Team Offensive Tackle,37059,10
2068,All-League First Team Offensive Tackle,37024,31
2068,All-League First Team Punter,32039,15
2068,All-League First Team Kicker,34636,28
2068,All-League First Team Defensive End,40525,13
2068,All-League First Team Defensive End,41407,31
2068,All-League First Team Defensive Tackle,40608,9
2068,All-League First Team Defensive Tackle,41383,4
2068,All-League First Team Inside Linebacker,42331,3
2068,All-League First Team Outside Linebacker,39826,17
2068,All-League First Team Outside Linebacker,42401,18
2068,All-League First Team Cornerback,36529,11
2068,All-League First Team Cornerback,38209,25
2068,All-League First Team Safety,39120,4
2068,All-League First Team Safety,39976,23
2068,All-League Second Team Quarterback,35009,24
2068,All-League Second Team Running Back,42648,0
2068,All-League Second Team Fullback,37585,24
2068,All-League Second Team Tight End,40198,22
2068,All-League Second Team Wide Receiver,41927,14
2068,All-League Second Team Wide Receiver,40227,29
2068,All-League Second Team Center,36103,13
2068,All-League Second Team Offensive Guard,37829,29
2068,All-League Second Team Offensive Guard,39542,25
2068,All-League Second Team Offensive Tackle,41259,24
2068,All-League Second Team Offensive Tackle,37065,22
2068,All-League Second Team Punter,37913,16
2068,All-League Second Team Kicker,34629,5
2068,All-League Second Team Defensive End,37290,7
2068,All-League Second Team Defensive End,38897,16
2068,All-League Second Team Defensive Tackle,41429,26
2068,All-League Second Team Defensive Tackle,38050,8
2068,All-League Second Team Inside Linebacker,38928,29
2068,All-League Second Team Outside Linebacker,40699,24
2068,All-League Second Team Outside Linebacker,42403,16
2068,All-League Second Team Cornerback,43255,14
2068,All-League Second Team Cornerback,40787,12
2068,All-League Second Team Safety,40756,8
2068,All-League Second Team Safety,40807,10
2068,League's Fastest Man,41072,25
2068,League's Strongest Man,35316,27
2067,Legend of the Game,28285,31
2067,Coach of the Year,792,10
2067,Player of the Year,33339,19
2067,Front Office Bowl MVP,32461,6
2067,Offensive Player of the Year,33339,19
2067,Defensive Player of the Year,38821,20
2067,Offensive Rookie of the Year,41806,26
2067,Defensive Rookie of the Year,42401,18
2067,All-League First Team Quarterback,33339,19
2067,All-League First Team Running Back,41806,26
2067,All-League First Team Fullback,39312,30
2067,All-League First Team Tight End,40198,22
2067,All-League First Team Wide Receiver,36881,10
2067,All-League First Team Wide Receiver,38518,15
2067,All-League First Team Center,36100,23
2067,All-League First Team Offensive Guard,38665,24
2067,All-League First Team Offensive Guard,36983,9
2067,All-League First Team Offensive Tackle,37859,15
2067,All-League First Team Offensive Tackle,37059,10
2067,All-League First Team Punter,41325,4
2067,All-League First Team Kicker,41354,19
2067,All-League First Team Defensive End,38821,20
2067,All-League First Team Defensive End,36454,24
2067,All-League First Team Defensive Tackle,39741,30
2067,All-League First Team Defensive Tackle,41429,26
2067,All-League First Team Inside Linebacker,36435,13
2067,All-League First Team Outside Linebacker,37325,25
2067,All-League First Team Outside Linebacker,40708,1
2067,All-League First Team Cornerback,41626,13
2067,All-League First Team Cornerback,36529,11
2067,All-League First Team Safety,37421,14
2067,All-League First Team Safety,41706,18
2067,All-League Second Team Quarterback,35862,10
2067,All-League Second Team Running Back,36735,24
2067,All-League Second Team Fullback,41848,13
2067,All-League Second Team Tight End,35992,31
2067,All-League Second Team Wide Receiver,40282,31
2067,All-League Second Team Wide Receiver,37672,8
2067,All-League Second Team Center,38632,30
2067,All-League Second Team Offensive Guard,39489,23
2067,All-League Second Team Offensive Guard,36135,1
2067,All-League Second Team Offensive Tackle,38754,26
2067,All-League Second Team Offensive Tackle,37860,3
2067,All-League Second Team Punter,40464,8
2067,All-League Second Team Kicker,33787,20
2067,All-League Second Team Defensive End,38857,3
2067,All-League Second Team Defensive End,37965,11
2067,All-League Second Team Defensive Tackle,40590,29
2067,All-League Second Team Defensive Tackle,38870,31
2067,All-League Second Team Inside Linebacker,40644,21
2067,All-League Second Team Outside Linebacker,39826,17
2067,All-League Second Team Outside Linebacker,38948,22
2067,All-League Second Team Cornerback,35698,9
2067,All-League Second Team Cornerback,40787,12
2067,All-League Second Team Safety,39120,4
2067,All-League Second Team Safety,40808,16
2067,League's Fastest Man,35229,3
2067,League's Strongest Man,34492,12
2066,Legend of the Game,30004,13
2066,Coach of the Year,792,10
2066,Player of the Year,34186,18
2066,Front Office Bowl MVP,35862,10
2066,Offensive Player of the Year,34186,18
2066,Defensive Player of the Year,40654,30
2066,Offensive Rookie of the Year,40971,7
2066,Defensive Rookie of the Year,41522,28
2066,All-League First Team Quarterback,34186,18
2066,All-League First Team Running Back,37530,10
2066,All-League First Team Fullback,37585,24
2066,All-League First Team Tight End,39336,8
2066,All-League First Team Wide Receiver,34359,4
2066,All-League First Team Wide Receiver,36881,10
2066,All-League First Team Center,36100,23
2066,All-League First Team Offensive Guard,40385,7
2066,All-League First Team Offensive Guard,36157,23
2066,All-League First Team Offensive Tackle,37059,10
2066,All-League First Team Offensive Tackle,34579,23
2066,All-League First Team Punter,37074,0
2066,All-League First Team Kicker,41351,19
2066,All-League First Team Defensive End,38010,17
2066,All-League First Team Defensive End,37961,12
2066,All-League First Team Defensive Tackle,40590,29
2066,All-League First Team Defensive Tackle,37204,5
2066,All-League First Team Inside Linebacker,34771,4
2066,All-League First Team Outside Linebacker,40654,30
2066,All-League First Team Outside Linebacker,38992,13
2066,All-League First Team Cornerback,39877,24
2066,All-League First Team Cornerback,38216,28
2066,All-League First Team Safety,36609,6
2066,All-League First Team Safety,39120,4
2066,All-League Second Team Quarterback,37520,23
2066,All-League Second Team Running Back,36718,3
2066,All-League Second Team Fullback,35121,23
2066,All-League Second Team Tight End,40198,22
2066,All-League Second Team Wide Receiver,40226,27
2066,All-League Second Team Wide Receiver,36072,18
2066,All-League Second Team Center,34476,10
2066,All-League Second Team Offensive Guard,36176,3
2066,All-League Second Team Offensive Guard,36139,10
2066,All-League Second Team Offensive Tackle,36195,27
2066,All-League Second Team Offensive Tackle,35392,1
2066,All-League Second Team Punter,32039,20
2066,All-League Second Team Kicker,35470,2
2066,All-League Second Team Defensive End,38809,8
2066,All-League Second Team Defensive End,39689,27
2066,All-League Second Team Defensive Tackle,38902,16
2066,All-League Second Team Defensive Tackle,40608,9
2066,All-League Second Team Inside Linebacker,36435,13
2066,All-League Second Team Outside Linebacker,40699,24
2066,All-League Second Team Outside Linebacker,40708,1
2066,All-League Second Team Cornerback,37345,21
2066,All-League Second Team Cornerback,35740,12
2066,All-League Second Team Safety,39992,20
2066,All-League Second Team Safety,33237,1
2066,League's Fastest Man,35229,3
2066,League's Strongest Man,36209,13
2065,Legend of the Game,28331,29
2065,Coach of the Year,792,10
2065,Player of the Year,33339,19
2065,Front Office Bowl MVP,35862,10
2065,Offensive Player of the Year,33339,19
2065,Defensive Player of the Year,33831,9
2065,Offensive Rookie of the Year,40061,19
2065,Defensive Rookie of the Year,40808,16
2065,All-League First Team Quarterback,33339,19
2065,All-League First Team Running Back,36744,31
2065,All-League First Team Fullback,39312,11
2065,All-League First Team Tight End,36005,29
2065,All-League First Team Wide Receiver,39429,22
2065,All-League First Team Wide Receiver,36072,18
2065,All-League First Team Center,33593,15
2065,All-League First Team Offensive Guard,36176,3
2065,All-League First Team Offensive Guard,37833,7
2065,All-League First Team Offensive Tackle,37859,19
2065,All-League First Team Offensive Tackle,37860,3
2065,All-League First Team Punter,34601,16
2065,All-League First Team Kicker,32921,26
2065,All-League First Team Defensive End,33831,9
2065,All-League First Team Defensive End,37961,12
2065,All-League First Team Defensive Tackle,37204,5
2065,All-League First Team Defensive Tackle,33038,20
2065,All-League First Team Inside Linebacker,33913,0
2065,All-League First Team Outside Linebacker,37295,12
2065,All-League First Team Outside Linebacker,37325,25
2065,All-League First Team Cornerback,36528,30
2065,All-League First Team Cornerback,39877,24
2065,All-League First Team Safety,40808,16
2065,All-League First Team Safety,36609,6
2065,All-League Second Team Quarterback,35862,10
2065,All-League Second Team Running Back,36718,3
2065,All-League Second Team Fullback,38440,29
2065,All-League Second Team Tight End,39342,19
2065,All-League Second Team Wide Receiver,37672,8
2065,All-League Second Team Wide Receiver,38522,2
2065,All-League Second Team Center,35287,11
2065,All-League Second Team Offensive Guard,37829,29
2065,All-League Second Team Offensive Guard,33640,18
2065,All-League Second Team Offensive Tackle,34581,8
2065,All-League Second Team Offensive Tackle,34579,23
2065,All-League Second Team Punter,28742,2
2065,All-League Second Team Kicker,35470,2
2065,All-League Second Team Defensive End,35506,14
2065,All-League Second Team Defensive End,40525,13
2065,All-League Second Team Defensive Tackle,33039,2
2065,All-League Second Team Defensive Tackle,35565,11
2065,All-League Second Team Inside Linebacker,38925,31
2065,All-League Second Team Outside Linebacker,37330,15
2065,All-League Second Team Outside Linebacker,38123,4
2065,All-League Second Team Cornerback,38216,28
2065,All-League Second Team Cornerback,37402,6
2065,All-League Second Team Safety,33237,1
2065,All-League Second Team Safety,38294,31
2065,League's Fastest Man,36879,19
2065,League's Strongest Man,32011,1
2064,Legend of the Game,26666,28
2064,Coach of the Year,865,10
2064,Player of the Year,34228,0
2064,Front Office Bowl MVP,35862,10
2064,Offensive Player of the Year,34228,0
2064,Defensive Player of the Year,35509,0
2064,Offensive Rookie of the Year,39429,22
2064,Defensive Rookie of the Year,39992,20
2064,All-League First Team Quarterback,33339,19
2064,All-League First Team Running Back,34228,0
2064,All-League First Team Fullback,30887,15
2064,All-League First Team Tight End,35992,31
2064,All-League First Team Wide Receiver,37672,8
2064,All-League First Team Wide Receiver,36881,26
2064,All-League First Team Center,36921,20
2064,All-League First Team Offensive Guard,34491,0
2064,All-League First Team Offensive Guard,37833,7
2064,All-League First Team Offensive Tackle,35417,17
2064,All-League First Team Offensive Tackle,32018,9
2064,All-League First Team Punter,28743,30
2064,All-League First Team Kicker,34636,28
2064,All-League First Team Defensive End,35509,0
2064,All-League First Team Defensive End,37961,12
2064,All-League First Team Defensive Tackle,34752,19
2064,All-League First Team Defensive Tackle,33876,9
2064,All-League First Team Inside Linebacker,36435,13
2064,All-League First Team Outside Linebacker,38992,13
2064,All-League First Team Outside Linebacker,35674,21
2064,All-League First Team Cornerback,36554,5
2064,All-League First Team Cornerback,38216,28
2064,All-League First Team Safety,38296,24
2064,All-League First Team Safety,32392,0
2064,All-League Second Team Quarterback,26666,28
2064,All-League Second Team Running Back,36735,22
2064,All-League Second Team Fullback,35121,23
2064,All-League Second Team Tight End,32594,18
2064,All-League Second Team Wide Receiver,39429,22
2064,All-League Second Team Wide Receiver,36057,21
2064,All-League Second Team Center,34445,0
2064,All-League Second Team Offensive Guard,32794,15
2064,All-League Second Team Offensive Guard,34515,28
2064,All-League Second Team Offensive Tackle,32873,15
2064,All-League Second Team Offensive Tackle,35415,18
2064,All-League Second Team Punter,39609,27
2064,All-League Second Team Kicker,32919,27
2064,All-League Second Team Defensive End,38821,25
2064,All-League Second Team Defensive End,33831,9
2064,All-League Second Team Defensive Tackle,35543,8
2064,All-League Second Team Defensive Tackle,32191,15
2064,All-League Second Team Inside Linebacker,34771,4
2064,All-League Second Team Outside Linebacker,38161,11
2064,All-League Second Team Outside Linebacker,38977,4
2064,All-League Second Team Cornerback,37336,23
2064,All-League Second Team Cornerback,34874,29
2064,All-League Second Team Safety,33237,1
2064,All-League Second Team Safety,37445,17
2064,League's Fastest Man,30186,13
2064,League's Strongest Man,32011,3
2063,Legend of the Game,25816,27
2063,Coach of the Year,551,10
2063,Player of the Year,32461,6
2063,Front Office Bowl MVP,36609,6
2063,Offensive Player of the Year,32461,6
2063,Defensive Player of the Year,36344,1
2063,Offensive Rookie of the Year,38312,9
2063,Defensive Rookie of the Year,38821,25
2063,All-League First Team Quarterback,32461,6
2063,All-League First Team Running Back,36735,19
2063,All-League First Team Fullback,31736,0
2063,All-League First Team Tight End,36002,23
2063,All-League First Team Wide Receiver,38516,24
2063,All-League First Team Wide Receiver,34382,12
2063,All-League First Team Center,31066,22
2063,All-League First Team Offensive Guard,33627,22
2063,All-League First Team Offensive Guard,36139,10
2063,All-League First Team Offensive Tackle,35388,7
2063,All-League First Team Offensive Tackle,34579,23
2063,All-League First Team Punter,36251,10
2063,All-League First Team Kicker,31219,31
2063,All-League First Team Defensive End,36344,1
2063,All-League First Team Defensive End,35504,12
2063,All-League First Team Defensive Tackle,33906,20
2063,All-League First Team Defensive Tackle,33009,9
2063,All-League First Team Inside Linebacker,33928,25
2063,All-League First Team Outside Linebacker,38161,11
2063,All-League First Team Outside Linebacker,34793,26
2063,All-League First Team Cornerback,38216,28
2063,All-League First Team Cornerback,34931,21
2063,All-League First Team Safety,33237,1
2063,All-League First Team Safety,37445,17
2063,All-League Second Team Quarterback,35862,10
2063,All-League Second Team Running Back,37550,12
2063,All-League Second Team Fullback,34298,13
2063,All-League Second Team Tight End,34317,25
2063,All-League Second Team Wide Receiver,34398,11
2063,All-League Second Team Wide Receiver,33537,10
2063,All-League Second Team Center,32754,9
2063,All-League Second Team Offensive Guard,36174,23
2063,All-League Second Team Offensive Guard,31929,4
2063,All-League Second Team Offensive Tackle,35423,13
2063,All-League Second Team Offensive Tackle,32851,11
2063,All-League Second Team Punter,33743,26
2063,All-League Second Team Kicker,34636,28
2063,All-League Second Team Defensive End,38010,17
2063,All-League Second Team Defensive End,35491,11
2063,All-League Second Team Defensive Tackle,33039,2
2063,All-League Second Team Defensive Tackle,36395,8
2063,All-League Second Team Inside Linebacker,32202,3
2063,All-League Second Team Outside Linebacker,32295,30
2063,All-League Second Team Outside Linebacker,33958,17
2063,All-League Second Team Cornerback,35698,9
2063,All-League Second Team Cornerback,37343,14
2063,All-League Second Team Safety,35789,29
2063,All-League Second Team Safety,35769,5
2063,League's Fastest Man,31825,25
2063,League's Strongest Man,30522,13
2062,Legend of the Game,26658,11
2062,Coach of the Year,551,10
2062,Player of the Year,27452,31
2062,Front Office Bowl MVP,35862,10
2062,Offensive Player of the Year,32462,26
2062,Defensive Player of the Year,30540,11
2062,Offensive Rookie of the Year,37530,10
2062,Defensive Rookie of the Year,38216,28
2062,All-League First Team Quarterback,32462,26
2062,All-League First Team Running Back,34228,0
2062,All-League First Team Fullback,31736,0
2062,All-League First Team Tight End,34314,21
2062,All-League First Team Wide Receiver,34405,29
2062,All-League First Team Wide Receiver,34359,4
2062,All-League First Team Center,36100,23
2062,All-League First Team Offensive Guard,31093,21
2062,All-League First Team Offensive Guard,36135,1
2062,All-League First Team Offensive Tackle,37059,12
2062,All-League First Team Offensive Tackle,35426,21
2062,All-League First Team Punter,28742,2
2062,All-League First Team Kicker,30421,24
2062,All-League First Team Defensive End,35490,25
2062,All-League First Team Defensive End,38010,17
2062,All-League First Team Defensive Tackle,32191,15
2062,All-League First Team Defensive Tackle,32165,10
2062,All-League First Team Inside Linebacker,30540,11
2062,All-League First Team Outside Linebacker,30573,6
2062,All-League First Team Outside Linebacker,36484,18
2062,All-League First Team Cornerback,38216,28
2062,All-League First Team Cornerback,35698,9
2062,All-League First Team Safety,34142,8
2062,All-League First Team Safety,33237,1
2062,All-League Second Team Quarterback,27452,31
2062,All-League Second Team Running Back,35066,28
2062,All-League Second Team Fullback,30887,15
2062,All-League Second Team Tight End,33471,26
2062,All-League Second Team Wide Receiver,34398,11
2062,All-League Second Team Wide Receiver,36872,16
2062,All-League Second Team Center,34476,10
2062,All-League Second Team Offensive Guard,31086,11
2062,All-League Second Team Offensive Guard,33646,6
2062,All-League Second Team Offensive Tackle,28664,20
2062,All-League Second Team Offensive Tackle,36220,31
2062,All-League Second Team Punter,34613,13
2062,All-League Second Team Kicker,32917,10
2062,All-League Second Team Defensive End,31277,15
2062,All-League Second Team Defensive End,33038,20
2062,All-League Second Team Defensive Tackle,33029,25
2062,All-League Second Team Defensive Tackle,32164,26
2062,All-League Second Team Inside Linebacker,36435,13
2062,All-League Second Team Outside Linebacker,37330,15
2062,All-League Second Team Outside Linebacker,33984,19
2062,All-League Second Team Cornerback,34931,21
2062,All-League Second Team Cornerback,32331,31
2062,All-League Second Team Safety,34120,20
2062,All-League Second Team Safety,33240,13
2062,League's Fastest Man,36073,17
2062,League's Strongest Man,37055,3
2061,Legend of the Game,24120,2
2061,Coach of the Year,507,9
2061,Player of the Year,32461,6
2061,Front Office Bowl MVP,26676,20
2061,Offensive Player of the Year,32461,6
2061,Defensive Player of the Year,34809,23
2061,Offensive Rookie of the Year,36702,30
2061,Defensive Rookie of the Year,37382,4
2061,All-League First Team Quarterback,32461,6
2061,All-League First Team Running Back,35066,28
2061,All-League First Team Fullback,35121,23
2061,All-League First Team Tight End,35987,1
2061,All-League First Team Wide Receiver,36072,18
2061,All-League First Team Wide Receiver,33537,10
2061,All-League First Team Center,27759,13
2061,All-League First Team Offensive Guard,36135,1
2061,All-League First Team Offensive Guard,32815,7
2061,All-League First Team Offensive Tackle,31969,24
2061,All-League First Team Offensive Tackle,32018,9
2061,All-League First Team Punter,33748,14
2061,All-League First Team Kicker,35451,11
2061,All-League First Team Defensive End,33849,10
2061,All-League First Team Defensive End,35509,0
2061,All-League First Team Defensive Tackle,35543,8
2061,All-League First Team Defensive Tackle,35565,11
2061,All-League First Team Inside Linebacker,33913,0
2061,All-League First Team Outside Linebacker,34809,23
2061,All-League First Team Outside Linebacker,29805,6
2061,All-League First Team Cornerback,32316,20
2061,All-League First Team Cornerback,29837,0
2061,All-League First Team Safety,33240,13
2061,All-League First Team Safety,32421,20
2061,All-League Second Team Quarterback,29175,4
2061,All-League Second Team Running Back,35096,19
2061,All-League Second Team Fullback,32588,26
2061,All-League Second Team Tight End,35992,31
2061,All-League Second Team Wide Receiver,34359,4
2061,All-League Second Team Wide Receiver,34405,29
2061,All-League Second Team Center,35303,30
2061,All-League Second Team Offensive Guard,28654,15
2061,All-League Second Team Offensive Guard,31954,16
2061,All-League Second Team Offensive Tackle,35426,21
2061,All-League Second Team Offensive Tackle,35417,17
2061,All-League Second Team Punter,33753,16
2061,All-League Second Team Kicker,34636,28
2061,All-League Second Team Defensive End,33864,20
2061,All-League Second Team Defensive End,34698,4
2061,All-League Second Team Defensive Tackle,32165,10
2061,All-League Second Team Defensive Tackle,28831,18
2061,All-League Second Team Inside Linebacker,33914,18
2061,All-League Second Team Outside Linebacker,30621,1
2061,All-League Second Team Outside Linebacker,36487,22
2061,All-League Second Team Cornerback,33198,8
2061,All-League Second Team Cornerback,35740,12
2061,All-League Second Team Safety,33237,1
2061,All-League Second Team Safety,33277,19
2061,League's Fastest Man,32331,31
2061,League's Strongest Man,36174,23
2060,Legend of the Game,23289,31
2060,Coach of the Year,799,11
2060,Player of the Year,28331,29
2060,Front Office Bowl MVP,31635,23
2060,Offensive Player of the Year,28331,29
2060,Defensive Player of the Year,34673,3
2060,Offensive Rookie of the Year,35873,17
2060,Defensive Rookie of the Year,36529,11
2060,All-League First Team Quarterback,28331,29
2060,All-League First Team Running Back,35066,28
2060,All-League First Team Fullback,31725,27
2060,All-League First Team Tight End,35164,7
2060,All-League First Team Wide Receiver,33537,22
2060,All-League First Team Wide Receiver,27647,23
2060,All-League First Team Center,27759,13
2060,All-League First Team Offensive Guard,32794,7
2060,All-League First Team Offensive Guard,31954,16
2060,All-League First Team Offensive Tackle,31969,24
2060,All-League First Team Offensive Tackle,32013,23
2060,All-League First Team Punter,30385,3
2060,All-League First Team Kicker,35451,11
2060,All-League First Team Defensive End,34673,3
2060,All-League First Team Defensive End,33831,9
2060,All-League First Team Defensive Tackle,30509,17
2060,All-League First Team Defensive Tackle,32164,26
2060,All-League First Team Inside Linebacker,30540,11
2060,All-League First Team Outside Linebacker,34809,23
2060,All-League First Team Outside Linebacker,31433,0
2060,All-League First Team Cornerback,36529,11
2060,All-League First Team Cornerback,29043,17
2060,All-League First Team Safety,33240,13
2060,All-League First Team Safety,34142,8
2060,All-League Second Team Quarterback,27449,21
2060,All-League Second Team Running Back,30873,24
2060,All-League Second Team Fullback,34296,28
2060,All-League Second Team Tight End,33484,4
2060,All-League Second Team Wide Receiver,33504,15
2060,All-League Second Team Wide Receiver,34405,29
2060,All-League Second Team Center,26907,23
2060,All-League Second Team Offensive Guard,33627,22
2060,All-League Second Team Offensive Guard,31929,4
2060,All-League Second Team Offensive Tackle,30345,1
2060,All-League Second Team Offensive Tackle,31992,11
2060,All-League Second Team Punter,31213,8
2060,All-League Second Team Kicker,31219,25
2060,All-League Second Team Defensive End,31278,31
2060,All-League Second Team Defensive End,35506,26
2060,All-League Second Team Defensive Tackle,35565,11
2060,All-League Second Team Defensive Tackle,33893,27
2060,All-League Second Team Inside Linebacker,33914,14
2060,All-League Second Team Outside Linebacker,36497,29
2060,All-League Second Team Outside Linebacker,29805,6
2060,All-League Second Team Cornerback,36554,5
2060,All-League Second Team Cornerback,34931,21
2060,All-League Second Team Safety,29942,25
2060,All-League Second Team Safety,30752,9
2060,League's Fastest Man,30211,20
2060,League's Strongest Man,31992,11
2059,Legend of the Game,22443,17
2059,Coach of the Year,913,4
2059,Player of the Year,28331,29
2059,Front Office Bowl MVP,32519,4
2059,Offensive Player of the Year,28331,29
2059,Defensive Player of the Year,33864,20
2059,Offensive Rookie of the Year,35066,28
2059,Defensive Rookie of the Year,35674,21
2059,All-League First Team Quarterback,28331,29
2059,All-League First Team Running Back,32534,29
2059,All-League First Team Fullback,34296,28
2059,All-League First Team Tight End,34335,29
2059,All-League First Team Wide Receiver,33537,22
2059,All-League First Team Wide Receiver,29367,10
2059,All-League First Team Center,33593,3
2059,All-League First Team Offensive Guard,29482,29
2059,All-League First Team Offensive Guard,31093,21
2059,All-League First Team Offensive Tackle,32832,12
2059,All-League First Team Offensive Tackle,31969,24
2059,All-League First Team Punter,32039,13
2059,All-League First Team Kicker,27920,2
2059,All-League First Team Defensive End,33864,20
2059,All-League First Team Defensive End,33793,4
2059,All-League First Team Defensive Tackle,33029,25
2059,All-League First Team Defensive Tackle,33884,16
2059,All-League First Team Inside Linebacker,33913,0
2059,All-League First Team Outside Linebacker,34001,10
2059,All-League First Team Outside Linebacker,30572,7
2059,All-League First Team Cornerback,31577,13
2059,All-League First Team Cornerback,29893,22
2059,All-League First Team Safety,30752,9
2059,All-League First Team Safety,34988,22
2059,All-League Second Team Quarterback,29127,14
2059,All-League Second Team Running Back,30873,24
2059,All-League Second Team Fullback,33436,5
2059,All-League Second Team Tight End,30959,0
2059,All-League Second Team Wide Receiver,34405,29
2059,All-League Second Team Wide Receiver,33504,15
2059,All-League Second Team Center,27759,13
2059,All-League Second Team Offensive Guard,28654,15
2059,All-League Second Team Offensive Guard,32764,2
2059,All-League Second Team Offensive Tackle,31992,11
2059,All-League Second Team Offensive Tackle,30345,1
2059,All-League Second Team Punter,27071,30
2059,All-League Second Team Kicker,35470,13
2059,All-League Second Team Defensive End,28891,9
2059,All-League Second Team Defensive End,33038,20
2059,All-League Second Team Defensive Tackle,32164,26
2059,All-League Second Team Defensive Tackle,33876,9
2059,All-League Second Team Inside Linebacker,32202,3
2059,All-League Second Team Outside Linebacker,29805,6
2059,All-League Second Team Outside Linebacker,28989,17
2059,All-League Second Team Cornerback,33198,8
2059,All-League Second Team Cornerback,29043,17
2059,All-League Second Team Safety,33237,1
2059,All-League Second Team Safety,29915,31
2059,League's Fastest Man,30196,27
2059,League's Strongest Man,30347,3
2058,Legend of the Game,21549,18
2058,Coach of the Year,595,22
2058,Player of the Year,30873,24
2058,Front Office Bowl MVP,29141,12
2058,Offensive Player of the Year,30873,24
2058,Defensive Player of the Year,33913,0
2058,Offensive Rookie of the Year,34228,0
2058,Defensive Rookie of the Year,34819,15
2058,All-League First Team Quarterback,25816,27
2058,All-League First Team Running Back,30873,24
2058,All-League First Team Fullback,29269,9
2058,All-League First Team Tight End,31774,17
2058,All-League First Team Wide Receiver,27692,25
2058,All-League First Team Wide Receiver,30978,28
2058,All-League First Team Center,31072,12
2058,All-League First Team Offensive Guard,29488,17
2058,All-League First Team Offensive Guard,28654,15
2058,All-League First Team Offensive Tackle,32832,12
2058,All-League First Team Offensive Tackle,30380,2
2058,All-League First Team Punter,31214,24
2058,All-League First Team Kicker,34627,21
2058,All-League First Team Defensive End,32114,29
2058,All-League First Team Defensive End,30451,6
2058,All-League First Team Defensive Tackle,30509,17
2058,All-League First Team Defensive Tackle,33029,25
2058,All-League First Team Inside Linebacker,33913,0
2058,All-League First Team Outside Linebacker,29805,6
2058,All-League First Team Outside Linebacker,34001,10
2058,All-League First Team Cornerback,29893,22
2058,All-League First Team Cornerback,34931,21
2058,All-League First Team Safety,34142,8
2058,All-League First Team Safety,29942,25
2058,All-League Second Team Quarterback,26651,4
2058,All-League Second Team Running Back,29226,16
2058,All-League Second Team Fullback,33436,5
2058,All-League Second Team Tight End,33484,4
2058,All-League Second Team Wide Receiver,33537,22
2058,All-League Second Team Wide Receiver,29367,10
2058,All-League Second Team Center,27759,13
2058,All-League Second Team Offensive Guard,33673,21
